index,date,value,ma5,ma10,ma20,ma30,ma60,Profit,Profit rate,180 day profit,Standard Dev of 180-day-profit,Standard Dev,Coefficient of Variation,Bias(5:30),sharp ratio,credit_of_future_tendency,Risk_credit,Credit_to_SELL
19,2016/9/30,609.39,604.77,601.985,606.3935,,,5.54,0.92%,-1.97%,0.97%,6.032015646,0.009947362,,-203.25%,0,-3.03,3.67
20,2016/10/1,614.82,607.938,603.579,606.052,,,5.43,0.89%,-1.10%,0.99%,6.154088551,0.010141961,,-110.98%,0,-2.11,2.73
21,2016/10/2,612.98,609.342,605.135,606.2175,,,-1.84,-0.30%,-1.39%,0.99%,6.149083937,0.01012902,,-141.00%,0,-2.41,2.2
22,2016/10/3,611.85,610.578,606.912,606.264,,,-1.13,-0.18%,-1.58%,0.98%,6.092219278,0.01003192,,-160.86%,0,-2.61,2.48
23,2016/10/4,609.62,611.732,607.486,606.304,,,-2.23,-0.36%,-1.94%,0.96%,5.982195748,0.009849168,,-201.10%,0,-3.01,2.76
24,2016/10/5,607.18,611.29,608.03,606.144,,,-2.44,-0.40%,-2.33%,0.94%,5.861462971,0.009650519,,-246.87%,0,-3.47,3.19
25,2016/10/6,612.08,610.742,609.34,606.2925,,,4.9,0.81%,-1.54%,0.94%,5.818485844,0.009576906,,-164.48%,0,-2.64,3.21
26,2016/10/7,617.21,611.588,610.465,606.801,,,5.13,0.84%,-0.71%,0.96%,5.993861492,0.00985976,,-74.08%,0,-1.74,2.33
27,2016/10/8,614.74,612.166,611.372,606.959,,,-2.47,-0.40%,-1.11%,0.97%,6.020724614,0.009899978,,-114.77%,0,-2.15,1.87
28,2016/10/9,615.65,613.372,612.552,607.232,,,0.91,0.15%,-0.97%,0.98%,6.072005528,0.009980059,,-98.81%,0,-1.99,2.09
29,2016/10/10,617.54,615.444,613.367,607.676,608.718,,1.89,0.31%,-0.66%,1.00%,6.190637232,0.010169959,,-66.39%,0,-1.66,1.88
30,2016/10/11,614.77,615.982,613.362,608.4705,608.4886667,,-2.77,-0.45%,-1.11%,0.99%,6.183132303,0.010154373,0.012314664,-111.27%,0,-2.11,2.41
31,2016/10/12,635.01,619.542,615.565,610.35,609.3333333,,20.24,3.29%,2.15%,1.22%,7.593014779,0.012453103,0.016753829,175.95%,0,0.76,2.38
32,2016/10/13,635.96,623.786,617.976,612.444,610.168,,0.95,0.15%,2.30%,1.40%,8.725010313,0.014291028,0.022318443,164.01%,0,0.64,0.58
33,2016/10/14,634.02,627.46,620.416,613.951,611.008,,-1.94,-0.31%,1.99%,1.52%,9.468202275,0.015490796,0.026925998,130.65%,0,0.31,0.83
34,2016/10/15,637.94,631.54,623.492,615.761,611.9266667,,3.92,0.62%,2.62%,1.66%,10.33969811,0.016895531,0.032051771,157.55%,0,0.58,1.46
35,2016/10/16,641.42,636.87,626.426,617.883,613.0036667,,3.48,0.55%,3.18%,1.82%,11.28490124,0.018415426,0.038933427,175.19%,0,0.75,1.58
36,2016/10/17,638.97,637.662,628.602,619.5335,614.068,,-2.45,-0.38%,2.79%,1.92%,11.91310979,0.019418161,0.038422455,145.39%,0,0.45,1.2
37,2016/10/18,636.29,637.728,630.757,621.0645,614.8916667,,-2.68,-0.42%,2.36%,1.98%,12.30819263,0.020042549,0.037138791,118.95%,0,0.19,1.37
38,2016/10/19,629.25,636.774,632.117,622.3345,615.527,,-7.04,-1.11%,1.22%,1.99%,12.38301681,0.020151647,0.034518388,61.37%,0,-0.39,1.34
39,2016/10/20,627.72,634.73,633.135,623.251,616.1623333,,-1.53,-0.24%,0.98%,1.99%,12.40044606,0.020169156,0.030134375,48.95%,0,-0.51,1.85
40,2016/10/21,631.92,632.83,634.85,624.106,617.2636667,,4.2,0.67%,1.65%,2.02%,12.52903504,0.020364492,0.025218289,81.97%,0,-0.18,1.91
41,2016/10/22,655.48,636.132,636.897,626.231,619.199,,23.56,3.73%,5.44%,2.22%,13.81580083,0.022421064,0.02734662,244.86%,0,1.45,2.53
42,2016/10/23,653.25,639.524,638.626,628.301,621.1713333,,-2.23,-0.34%,5.08%,2.37%,14.75204011,0.023907014,0.029545257,214.21%,0,1.14,0.1
43,2016/10/24,651.39,643.952,640.363,630.3895,622.755,,-1.86,-0.28%,4.78%,2.49%,15.45492102,0.025014467,0.034037463,192.43%,0,0.92,0.58
44,2016/10/25,655.31,649.47,642.1,632.796,624.5406667,,3.92,0.60%,5.41%,2.61%,16.24975386,0.02626554,0.039916269,207.14%,0,1.07,1.35
45,2016/10/26,651.45,653.376,643.103,634.7645,626.2896667,,-3.86,-0.59%,4.79%,2.70%,16.76791277,0.027071893,0.043248891,177.72%,0,0.78,0.97
46,2016/10/27,682.22,658.724,647.428,638.015,628.8316667,,30.77,4.72%,9.74%,3.04%,18.90501397,0.030456516,0.047536304,320.39%,0,2.2,3.48
47,2016/10/28,687.68,665.61,652.567,641.662,631.5653333,,5.46,0.80%,10.62%,3.38%,21.00982711,0.033771534,0.053905218,314.28%,0,2.14,1.11
48,2016/10/29,685.91,672.514,658.233,645.175,634.3006667,,-1.77,-0.26%,10.34%,3.65%,22.66633693,0.036358147,0.060244826,283.50%,0,1.84,1
49,2016/10/30,698,681.052,665.261,649.198,637.2543333,,12.09,1.76%,12.28%,3.98%,24.74895965,0.039604038,0.068728707,308.50%,0,2.08,2.59
50,2016/10/31,702,691.162,672.269,653.5595,640.1603333,,4,0.57%,12.93%,4.30%,26.7346773,0.042678411,0.079670145,300.55%,0,2.01,2.38
51,2016/11/1,697.01,694.12,676.422,656.6595,642.9613333,,-4.99,-0.71%,12.12%,4.54%,28.19533392,0.044912831,0.079567252,267.28%,0,1.67,1.81
52,2016/11/2,733.33,703.25,684.43,661.528,647.0106667,,36.32,5.21%,17.97%,5.05%,31.40412011,0.04986597,0.086921802,355.62%,0,2.56,5.44
53,2016/11/3,686.17,703.302,687.908,664.1355,649.5623333,,-47.16,-6.43%,10.38%,5.15%,32.02764574,0.050771852,0.082732117,201.45%,0,1.01,-1.38
54,2016/11/4,683.69,700.44,690.746,666.423,652.1126667,,-2.48,-0.36%,9.98%,5.23%,32.51196101,0.051461186,0.074108871,190.82%,0,0.91,2.54
55,2016/11/5,704.79,700.998,696.08,669.5915,655.203,,21.1,3.09%,13.37%,5.41%,33.63998293,0.053137002,0.069894369,247.15%,0,1.47,4.18
56,2016/11/6,712,703.996,699.058,673.243,658.3626667,,7.21,1.02%,14.53%,5.62%,34.91628646,0.055032667,0.069313367,258.76%,0,1.59,2.59
57,2016/11/7,709.96,699.322,701.286,676.9265,661.5366667,,-2.04,-0.29%,14.21%,5.79%,35.98195174,0.056596185,0.057117519,245.43%,0,1.45,1.2
58,2016/11/8,708.97,703.882,703.592,680.9125,664.6473333,,-0.99,-0.14%,14.05%,5.94%,36.90587956,0.057936369,0.059030804,236.60%,0,1.37,1.49
59,2016/11/9,720.93,711.33,705.885,685.573,668.0936667,638.4058333,11.96,1.69%,15.97%,6.14%,38.14146009,0.059744849,0.064715975,260.29%,0,1.6,2.81
60,2016/11/10,721.5,714.672,707.835,690.052,671.6513333,640.07,0.57,0.08%,16.06%,6.32%,39.2715866,0.061384103,0.064052083,254.26%,0,1.54,1.72
61,2016/11/11,715.45,715.362,709.679,693.0505,674.3326667,641.833,-6.05,-0.84%,15.09%,6.45%,40.1033112,0.06256477,0.060844351,233.90%,0,1.34,1.12
62,2016/11/12,703.71,714.112,706.717,695.5735,676.591,643.3795,-11.74,-1.64%,13.20%,6.52%,40.54873645,0.063161572,0.055455955,202.37%,0,1.02,0.6
63,2016/11/13,702.28,712.774,708.328,698.118,678.8663333,644.9371667,-1.43,-0.20%,12.97%,6.58%,40.91977079,0.063646119,0.049947486,197.04%,0,0.97,1.38
64,2016/11/14,706.46,709.88,710.605,700.6755,681.1503333,646.5385,4.18,0.60%,13.64%,6.65%,41.34987421,0.064217467,0.042178158,205.10%,0,1.05,1.47
65,2016/11/15,710.91,707.762,711.217,703.6485,683.4666667,648.2351667,4.45,0.63%,14.36%,6.73%,41.8437902,0.064882232,0.03554721,213.32%,0,1.13,1.09
66,2016/11/16,711.73,707.018,711.19,705.124,685.892,649.98,0.82,0.12%,14.49%,6.81%,42.31309359,0.065508636,0.030800767,212.89%,0,1.13,0.49
67,2016/11/17,736.96,713.668,713.89,707.588,689.2476667,652.0696667,25.23,3.54%,18.55%,6.98%,43.40705471,0.067063282,0.035430419,265.65%,0,1.66,2.6
68,2016/11/18,747.52,722.716,717.745,710.6685,693.19,654.3585,10.56,1.43%,20.25%,7.19%,44.72639327,0.068946853,0.042594382,281.42%,0,1.81,1.32
69,2016/11/19,748.98,731.22,720.55,713.2175,697.232,656.6971667,1.46,0.20%,20.48%,7.40%,45.97232936,0.070711353,0.048747045,276.97%,0,1.77,0.8
70,2016/11/20,729.06,734.85,721.306,714.5705,700.47,658.8668333,-19.92,-2.66%,17.28%,7.49%,46.58513129,0.071531624,0.049081331,230.57%,0,1.31,-0.71
71,2016/11/21,738.53,740.21,723.614,716.6465,703.2383333,661.2186667,9.47,1.30%,18.80%,7.62%,47.37468765,0.072608842,0.052573452,246.71%,0,1.47,2.07
72,2016/11/22,736.97,740.212,726.94,716.8285,706.029,663.6001667,-1.56,-0.21%,18.55%,7.73%,48.06350801,0.073534098,0.048415858,239.93%,0,1.4,0.87
73,2016/11/23,741.63,739.034,730.875,719.6015,709.037,665.896,4.66,0.63%,19.30%,7.85%,48.80713415,0.074536176,0.042306678,245.82%,0,1.46,1.1
74,2016/11/24,737.45,736.728,733.974,722.2895,711.775,668.1578333,-4.18,-0.56%,18.63%,7.95%,49.39853985,0.075312617,0.035057427,234.42%,0,1.34,0.01
75,2016/11/25,735.64,738.044,736.447,723.832,714.5813333,670.4355,-1.81,-0.25%,18.34%,8.03%,49.90634739,0.075965321,0.032834144,228.41%,0,1.28,0.19
76,2016/11/26,733.67,737.072,738.641,724.9155,716.2963333,672.564,-1.97,-0.27%,18.02%,8.10%,50.33608747,0.076503445,0.02900429,222.54%,0,1.23,0.04
77,2016/11/27,727.96,735.27,737.741,725.8155,717.639,674.6021667,-5.71,-0.78%,17.10%,8.14%,50.62860825,0.076843219,0.024568063,209.98%,0,1.1,-0.42
78,2016/11/28,727.31,732.406,735.72,726.7325,719.019,676.6598333,-0.65,-0.09%,17.00%,8.19%,50.88590042,0.077132291,0.018618423,207.64%,0,1.08,-0.21
79,2016/11/29,732.71,731.458,734.093,727.3215,720.176,678.7151667,5.4,0.74%,17.87%,8.24%,51.21293943,0.077520808,0.015665615,216.86%,0,1.17,0.13
80,2016/11/30,742.69,732.868,735.456,728.381,721.5323333,680.8463333,9.98,1.36%,19.47%,8.32%,51.69606726,0.078132307,0.015710546,234.14%,0,1.34,0.4
81,2016/12/1,742.05,734.544,735.808,729.711,723.0336667,682.9975,-0.64,-0.09%,19.37%,8.39%,52.13220001,0.078674878,0.015919498,230.95%,0,1.31,-0.57
82,2016/12/2,772.43,743.438,739.354,733.147,724.337,685.6738333,30.38,4.09%,24.25%,8.56%,53.18392633,0.080102161,0.026370322,283.51%,0,1.84,2.35
83,2016/12/3,764.33,750.842,741.624,736.2495,726.9423333,688.2523333,-8.1,-1.05%,22.95%,8.68%,53.97573782,0.081148684,0.032876977,264.34%,0,1.64,-0.73
84,2016/12/4,762.97,756.894,744.176,739.075,729.585,690.8488333,-1.36,-0.18%,22.73%,8.80%,54.68421198,0.08207182,0.037430868,258.43%,0,1.58,0.16
85,2016/12/5,754.63,759.282,746.075,741.261,731.2463333,693.2246667,-8.34,-1.09%,21.39%,8.88%,55.18392478,0.082694327,0.038339565,240.98%,0,1.41,-0.26
86,2016/12/6,756.62,762.196,748.37,743.5055,732.7336667,695.5481667,1.99,0.26%,21.71%,8.96%,55.68537725,0.083317617,0.040208789,242.38%,0,1.42,0.77
87,2016/12/7,758.99,759.508,751.473,744.607,734.368,697.9523333,2.37,0.31%,22.09%,9.04%,56.19538513,0.083951324,0.034233518,244.40%,0,1.44,0.49
88,2016/12/8,769.72,760.586,755.714,745.717,736.393,700.5201667,10.73,1.41%,23.82%,9.15%,56.87083268,0.084817533,0.032853381,260.36%,0,1.6,1.03
89,2016/12/9,770.02,761.996,759.445,746.769,738.0293333,703.0615,0.3,0.04%,23.87%,9.25%,57.50792858,0.085626501,0.032473867,258.00%,0,1.58,0.07
90,2016/12/10,769.08,764.886,762.084,748.77,739.6153333,705.6333333,-0.94,-0.12%,23.72%,9.34%,58.08669728,0.086350552,0.03416731,253.81%,0,1.54,0.08
91,2016/12/11,777,768.962,765.579,750.6935,741.667,707.9998333,7.92,1.03%,24.99%,9.45%,58.77400138,0.08722526,0.036802231,264.32%,0,1.64,0.92
92,2016/12/12,777,772.564,766.036,752.695,744.11,710.3505,0,0.00%,24.99%,9.56%,59.4178917,0.088035888,0.03823897,261.45%,0,1.61,0.3
93,2016/12/13,777.99,774.218,767.402,754.513,746.6336667,712.75,0.99,0.13%,25.15%,9.66%,60.03934433,0.088812384,0.036944936,260.40%,0,1.6,0.33
94,2016/12/14,774.89,775.192,768.594,756.385,748.9146667,715.0325,-3.1,-0.40%,24.65%,9.74%,60.56883466,0.089457911,0.03508722,253.00%,0,1.53,-0.05
95,2016/12/15,776.75,776.726,770.806,758.4405,751.1093333,717.288,1.86,0.24%,24.95%,9.83%,61.09666276,0.090099312,0.03410511,253.86%,0,1.54,0.33
96,2016/12/16,775.88,776.502,772.732,760.551,753.2476667,719.5698333,-0.87,-0.11%,24.81%,9.91%,61.57810294,0.090674504,0.030872095,250.46%,0,1.5,-0.04
97,2016/12/17,788.7,778.842,775.703,763.588,754.9723333,722.11,12.82,1.65%,26.87%,10.01%,62.24521699,0.091506161,0.031616611,268.37%,0,1.68,1.05
98,2016/12/18,788.4,780.924,777.571,766.6425,756.335,724.7625,-0.3,-0.04%,26.82%,10.11%,62.86753534,0.092272811,0.032510726,265.24%,0,1.65,-0.05
99,2016/12/19,788.67,783.68,779.436,769.4405,757.658,727.445,0.27,0.03%,26.87%,10.21%,63.45775288,0.092992576,0.034345311,263.20%,0,1.63,0.11
100,2016/12/20,793.09,786.948,781.837,771.9605,759.7923333,730.1311667,4.42,0.56%,27.58%,10.31%,64.08692311,0.093763986,0.035740906,267.51%,0,1.68,0.5
101,2016/12/21,824.21,796.614,786.558,776.0685,762.6483333,732.9433333,31.12,3.92%,32.58%,10.50%,65.26176258,0.095290526,0.044536473,310.38%,-0.02,2.1,4.02
102,2016/12/22,834.97,805.868,792.355,779.1955,765.915,735.972,10.76,1.31%,34.32%,10.71%,66.59096966,0.097024889,0.052163752,320.34%,-0.02,2.2,2.16
103,2016/12/23,901.31,828.45,804.687,786.0445,771.2376667,740.1373333,66.34,7.95%,44.99%,11.18%,69.51143688,0.100975965,0.074182494,402.32%,-0.01,3.02,6.84
104,2016/12/24,891.61,849.038,816.359,792.4765,776.3763333,744.0756667,-9.7,-1.08%,43.43%,11.57%,71.9400567,0.104210925,0.09359078,375.26%,-0.01,2.75,1.74
105,2016/12/25,892.6,868.94,827.944,799.375,781.6083333,748.0948333,0.99,0.11%,43.59%,11.94%,74.22179397,0.107219829,0.111733285,365.05%,-0.01,2.65,3.29
106,2016/12/26,897.33,883.564,840.089,806.4105,787.0636667,751.68,4.73,0.53%,44.35%,12.30%,76.46450244,0.110154611,0.12260804,360.53%,0.01,2.61,3.29
107,2016/12/27,930.37,902.644,854.256,814.9795,793.8106667,755.7248333,33.04,3.68%,49.66%,12.77%,79.40112008,0.114025821,0.137102382,388.81%,0.02,2.89,5.43
108,2016/12/28,930.34,908.45,868.45,823.0105,800.5783333,759.7986667,-0.03,0.00%,49.66%,13.21%,82.12444103,0.117574239,0.134742176,375.88%,0.04,2.76,2.11
109,2016/12/29,963.38,922.804,885.921,832.6785,808.2673333,764.2216667,33.04,3.55%,54.97%,13.76%,85.52888828,0.122027551,0.141706416,399.55%,0.04,3,4.73
110,2016/12/30,952.15,934.714,901.827,841.832,815.2493333,768.3908333,-11.23,-1.17%,53.16%,14.22%,88.39050031,0.12570437,0.146537583,373.91%,0.03,2.74,2.12
111,2016/12/31,958.12,946.872,915.218,850.888,822.4516667,772.7426667,5.97,0.63%,54.13%,14.67%,91.20488508,0.129288285,0.151279812,368.92%,0.03,2.69,3.69
112,2017/1/1,997.72,960.342,931.493,861.924,829.9613333,777.1491667,39.6,4.13%,60.50%,15.26%,94.83687752,0.133945721,0.157092459,396.54%,0.04,2.97,5.72
113,2017/1/2,1015.97,977.468,942.959,873.823,838.3493333,782.6458333,18.25,1.83%,63.43%,15.88%,98.68984893,0.138857807,0.165943553,399.55%,0.04,3,4.6
114,2017/1/3,1013.42,987.476,955.14,885.7495,846.6976667,788.1413333,-2.55,-0.25%,63.02%,16.44%,102.1997697,0.143265734,0.166267534,383.34%,0.04,2.83,3.2
115,2017/1/4,1126.76,1022.398,978.556,903.25,859.102,795.1741667,113.34,11.18%,81.25%,17.49%,108.6983743,0.151618154,0.190077546,464.69%,0.04,3.65,11.62
116,2017/1/5,994.67,1029.708,988.29,914.1895,867.037,799.8853333,-132.09,-11.72%,60.00%,17.89%,111.2118062,0.154612058,0.187617137,335.41%,0.02,2.35,-2.34
117,2017/1/6,999.65,1030.094,995.218,924.737,875.059,804.7135,4.98,0.50%,60.81%,18.29%,113.6824332,0.157526524,0.177170911,332.51%,0.03,2.33,5.22
118,2017/1/7,896.83,1006.266,991.867,930.1585,879.296,807.8445,-102.82,-10.29%,44.27%,18.39%,114.3273605,0.158097725,0.144399611,240.69%,0.04,1.41,-3.46
119,2017/1/8,908.14,985.21,986.343,936.132,883.9,810.9646667,11.31,1.26%,46.09%,18.51%,115.0853728,0.158807389,0.114617038,248.94%,0.06,1.49,2.16
120,2017/1/9,910.49,941.956,982.177,942.002,888.6136667,814.1145,2.35,0.26%,46.46%,18.63%,115.8367065,0.159506175,0.060028711,249.35%,0.09,1.49,-2.72
121,2017/1/10,906.05,924.232,976.97,946.094,892.9153333,817.2911667,-4.44,-0.49%,45.75%,18.74%,116.4948712,0.160087533,0.035072381,244.13%,0.1,1.44,-4.87
122,2017/1/11,785.22,881.346,955.72,943.6065,893.1893333,818.6496667,-120.83,-13.34%,26.31%,18.68%,116.1352923,0.159490895,-0.0132596,140.84%,0.08,0.41,-14.39
123,2017/1/12,780.92,858.164,932.215,937.587,893.287,819.9603333,-4.3,-0.55%,25.62%,18.62%,115.7622654,0.158885773,-0.03931883,137.58%,0.1,0.38,-7.53
124,2017/1/13,826.29,841.794,913.502,934.321,895.0003333,821.9575,45.37,5.81%,32.92%,18.60%,115.6263353,0.15852914,-0.059448395,176.98%,0.09,0.77,-4.41
125,2017/1/14,817.91,823.278,882.617,930.5865,896.3723333,823.7408333,-8.38,-1.01%,31.57%,18.57%,115.4342513,0.158113451,-0.081544611,170.02%,0.09,0.7,-9.98
126,2017/1/15,819.55,805.978,865.105,926.6975,897.828,825.5378333,1.64,0.20%,31.83%,18.54%,115.2505514,0.157709636,-0.102302445,171.71%,0.08,0.72,-9.83
127,2017/1/16,830.5,815.034,848.19,921.704,899.2213333,827.0968333,10.95,1.34%,33.60%,18.52%,115.1347238,0.15738335,-0.093622482,181.40%,0.08,0.81,-8.56
128,2017/1/17,903.84,839.618,848.891,920.379,903.0693333,829.7021667,73.34,8.83%,45.39%,18.61%,115.6786614,0.157838733,-0.070261863,243.94%,0.03,1.44,-0.35
129,2017/1/18,906.6,855.68,848.737,917.54,907.0003333,832.3291667,2.76,0.31%,45.84%,18.70%,116.2279868,0.15829965,-0.056582486,245.16%,-0.03,1.45,-2.71
130,2017/1/19,895.798875,871.257775,847.2678875,914.7224438,910.4239625,835.1081479,-10.801125,-1.19%,44.10%,18.76%,116.6343804,0.158586752,-0.043019724,235.05%,-0.1,1.35,0.49
131,2017/1/20,893.6210875,886.0719925,846.0249963,911.4974981,912.7376654,837.6929994,-2.1777875,-0.24%,43.75%,18.82%,116.9982485,0.158822752,-0.029215046,232.46%,-0.12,1.32,2.8
132,2017/1/21,895.64,899.0999925,857.0669963,906.3934981,914.7599988,840.3374994,2.0189125,0.23%,44.07%,18.88%,117.3638627,0.159060965,-0.017119251,233.45%,-0.15,1.33,5.22
133,2017/1/22,918.603625,902.0527175,870.8353588,901.5251794,915.3364529,843.2870598,22.963625,2.56%,47.77%,18.97%,117.9553783,0.159570923,-0.014512407,251.75%,-0.14,1.52,6.6
134,2017/1/23,922.0736125,905.14744,880.41372,896.95786,916.3519067,846.36412,3.4699875,0.38%,48.33%,19.07%,118.5592188,0.160094429,-0.012227253,253.40%,-0.13,1.53,4.45
135,2017/1/24,919.97,909.981665,890.61972,886.61836,917.26424,849.4362867,-2.1036125,-0.23%,47.99%,19.16%,119.1128634,0.160556025,-0.007939452,250.45%,-0.11,1.5,3.63
136,2017/1/25,893.045625,909.8665725,897.9692825,881.5371413,917.1214275,852.0925471,-26.924375,-2.93%,43.66%,19.20%,119.3729348,0.160667617,-0.007910463,227.35%,-0.1,1.27,1.35
137,2017/1/26,915.95625,913.9298225,906.5149075,877.3524538,916.6409692,855.2258179,22.910625,2.57%,47.34%,19.28%,119.8410693,0.161026034,-0.002957697,245.58%,-0.09,1.46,4.44
138,2017/1/27,915.05,913.2190975,907.6359075,878.2634538,916.1313025,858.3548179,-0.90625,-0.10%,47.20%,19.35%,120.2786887,0.161347627,-0.003178807,243.93%,-0.07,1.44,1.94
139,2017/1/28,920.31225,912.866825,909.0071325,878.8720663,914.6957108,861.4815221,5.26225,0.58%,48.04%,19.42%,120.7494967,0.161708271,-0.001999447,247.34%,-0.06,1.47,1.81
140,2017/1/29,915.933,912.059425,911.020545,879.1442163,913.4884775,864.3689054,-4.37925,-0.48%,47.34%,19.49%,121.1556179,0.16199179,-0.00156439,242.90%,-0.05,1.43,0.65
141,2017/1/30,912.19,915.8883,912.8774363,879.4512163,911.9574775,867.2045721,-3.743,-0.41%,46.74%,19.55%,121.5073055,0.162211104,0.004310313,239.11%,-0.04,1.39,0.52
142,2017/1/31,964.706075,925.638265,919.7840438,888.42552,910.8570133,870.4091733,52.516075,5.76%,55.18%,19.69%,122.4078297,0.163084989,0.016227851,280.26%,-0.03,1.8,4.73
143,2017/2/1,979.703875,938.56904,925.8940688,898.3647138,909.6481425,873.9987379,14.9978,1.55%,57.60%,19.86%,123.4571552,0.164135062,0.031793499,290.02%,-0.03,1.9,2.25
144,2017/2/2,983.42,951.19059,932.0287075,906.2212138,908.6481425,877.6729046,3.716125,0.38%,58.20%,20.03%,124.5103236,0.165184993,0.046819495,290.55%,-0.03,1.91,2
145,2017/2/3,1013.027,970.60939,941.3344075,915.9770638,904.8570425,881.9795213,29.607,3.01%,62.96%,20.25%,125.9121912,0.166652204,0.072666006,310.83%,-0.02,2.11,4.49
146,2017/2/4,1030.999413,994.3712726,955.1297863,926.5495344,906.0680229,886.5525115,17.972413,1.77%,65.85%,20.51%,127.509607,0.168348941,0.097457638,321.03%,-0.01,2.21,4.46
147,2017/2/5,1034.07,1008.244058,966.9411613,936.7280344,907.2153563,891.1371781,3.070587,0.30%,66.34%,20.76%,129.0833338,0.170007127,0.111361322,319.50%,0,2.19,3.61
148,2017/2/6,1024.01375,1017.106033,977.8375363,942.7367219,911.4548146,895.3754073,-10.05625,-0.97%,64.73%,20.98%,130.4525846,0.171409378,0.115914927,308.44%,0.01,2.08,2.68
149,2017/2/7,1050.11,1030.444033,990.8173113,949.9122219,916.1871479,900.043574,26.09625,2.55%,68.92%,21.25%,132.1276489,0.173171871,0.124709111,324.28%,0.01,2.24,5.1
150,2017/2/8,1052.84,1038.406633,1004.508011,957.7642782,920.9321479,904.7729073,2.73,0.26%,69.36%,21.52%,133.771489,0.174886365,0.127560412,322.33%,0.02,2.22,3.44
151,2017/2/9,976.103,1027.42735,1010.899311,961.8883738,923.2672479,908.0912906,-76.737,-7.29%,57.02%,21.62%,134.4195016,0.175414902,0.112816849,263.69%,0.02,1.64,-1.92
152,2017/2/10,999.1035,1020.43405,1014.339054,967.0615488,930.3966979,911.7930156,23.0005,2.36%,60.72%,21.76%,135.2865097,0.176196459,0.096773078,279.00%,0.03,1.79,3.44
153,2017/2/11,997.59,1015.1493,1016.127666,971.0108675,937.6190313,915.4530156,-1.5135,-0.15%,60.47%,21.89%,136.1036276,0.17691688,0.082688455,276.22%,0.03,1.76,0.9
154,2017/2/12,1000.604625,1005.248225,1017.846129,974.9374182,943.4295188,919.2149261,3.014625,0.30%,60.96%,22.03%,136.9219048,0.177635971,0.065525516,276.77%,0.03,1.77,0.23
155,2017/2/13,999.877375,994.6557,1016.531166,978.9327869,949.4950979,922.9337156,-0.72725,-0.07%,60.84%,22.15%,137.7013455,0.17830749,0.047562754,274.67%,0.03,1.75,-0.98
