index,date,value,ma5,ma10,ma20,ma30,ma60,Profit,Profit rate,180 day profit,Standard Dev of 180-day-profit,Standard Dev,Coefficient of Variation,Bias(5:30),sharp ratio,Credit_of_future_tendency,Risk_credit,Credit_to_SELL,DealDay
30,2016/10/11,1253.45,1257.84,1273.22,1302.0175,1306.698333,,-6.05,-0.48%,-5.37%,2.15%,28.46956176,0.021777778,-0.037390675,-249.92%,-0.01,-3.5,(0.94),1
31,2016/10/12,1256.5,1257.39,1266.62,1297.8875,1304.428333,,3.05,0.24%,-5.14%,2.22%,29.38090827,0.022502224,-0.036060496,-231.78%,-0.01,-3.32,(0.89),1
32,2016/10/13,1261.05,1257.85,1261.395,1294.0075,1302.341667,,4.55,0.36%,-4.80%,2.26%,29.92711923,0.022944326,-0.034162822,-212.35%,-0.01,-3.12,(0.84),1
33,2016/10/14,1251.75,1256.45,1258.24,1289.6625,1300.008333,,-9.3,-0.74%,-5.50%,2.32%,30.7933644,0.023636481,-0.033506195,-236.58%,0,-3.37,(0.90),1
34,2016/10/15,1251.75,1254.9,1256.475,1285.3175,1298.04,,0,0.00%,-5.50%,2.38%,31.51892195,0.024220519,-0.033234723,-231.13%,0,-3.31,(0.89),0
35,2016/10/16,1251.75,1254.56,1256.2,1280.88,1296.153333,,0,0.00%,-5.50%,2.43%,32.1284388,0.024715055,-0.032089825,-226.75%,0,-3.27,(0.88),0
36,2016/10/17,1254.8,1254.22,1255.805,1277.27,1294.368333,,3.05,0.24%,-5.27%,2.46%,32.52620992,0.025044555,-0.031017704,-214.60%,0,-3.15,(0.84),1
37,2016/10/18,1258.2,1253.65,1255.75,1274.055,1292.696667,,3.4,0.27%,-5.01%,2.47%,32.74465058,0.025233475,-0.030205591,-202.78%,0,-3.03,(0.81),1
38,2016/10/19,1269.05,1257.11,1256.78,1271.6025,1291.17,,10.85,0.86%,-4.19%,2.46%,32.63708826,0.025164816,-0.026379175,-170.21%,0,-2.7,(0.72),1
39,2016/10/20,1271.65,1261.09,1257.995,1269.06,1289.765,,2.6,0.20%,-4.00%,2.45%,32.4673942,0.02504618,-0.022232732,-163.09%,0,-2.63,(0.70),1
40,2016/10/21,1266.05,1263.95,1259.255,1266.2375,1287.763333,,-5.6,-0.44%,-4.42%,2.45%,32.40674618,0.025013632,-0.018492011,-180.67%,0,-2.81,(0.75),1
41,2016/10/22,1266.05,1266.2,1260.21,1263.415,1285.328333,,0,0.00%,-4.42%,2.44%,32.33323061,0.024970431,-0.01488206,-181.08%,0,-2.81,(0.75),0
42,2016/10/23,1266.05,1267.77,1260.71,1261.0525,1282.908333,,0,0.00%,-4.42%,2.43%,32.24872137,0.02491806,-0.011800012,-181.56%,0,-2.82,(0.75),0
43,2016/10/24,1265.55,1267.07,1262.09,1260.165,1280.471667,,-0.5,-0.04%,-4.46%,2.43%,32.16462904,0.02486559,-0.010466195,-183.59%,0,-2.84,(0.76),1
44,2016/10/25,1269.4,1266.62,1263.855,1260.165,1278.163333,,3.85,0.30%,-4.17%,2.42%,32.00366889,0.02475142,-0.009031188,-172.48%,0,-2.72,(0.73),1
45,2016/10/26,1270.5,1267.51,1265.73,1260.965,1275.83,,1.1,0.09%,-4.08%,2.40%,31.82354827,0.024621432,-0.006521245,-170.00%,0,-2.7,(0.72),1
46,2016/10/27,1266.25,1267.55,1266.875,1261.34,1273.805,,-4.25,-0.33%,-4.41%,2.39%,31.71048762,0.02454457,-0.004910485,-184.01%,0,-2.84,(0.76),1
47,2016/10/28,1273,1268.94,1268.355,1262.0525,1272.155,,6.75,0.53%,-3.90%,2.38%,31.4950078,0.024385238,-0.002527208,-163.84%,0,-2.64,(0.70),1
48,2016/10/29,1273,1270.43,1268.75,1262.765,1270.651667,,0,0.00%,-3.90%,2.36%,31.28224491,0.02422761,-0.000174451,-164.95%,0,-2.65,(0.71),0
49,2016/10/30,1273,1271.15,1268.885,1263.44,1269.001667,,0,0.00%,-3.90%,2.35%,31.07227826,0.024071773,0.001692932,-166.06%,0,-2.66,(0.71),0
50,2016/10/31,1272,1271.45,1269.48,1264.3675,1267.318333,,-1,-0.08%,-3.97%,2.33%,30.87657195,0.023926999,0.003260165,-170.36%,0,-2.7,(0.72),1
51,2016/11/1,1288.45,1275.89,1271.72,1265.965,1266.183333,,16.45,1.29%,-2.73%,2.31%,30.57947297,0.023697475,0.007666083,-118.22%,0,-2.18,(0.58),1
52,2016/11/2,1303.75,1282.04,1275.49,1268.1,1265.865,,15.3,1.19%,-1.57%,2.29%,30.34394022,0.023510364,0.012777824,-68.71%,0,-1.69,(0.45),1
53,2016/11/3,1301,1287.64,1279.035,1270.5625,1266.455,,-2.75,-0.21%,-1.78%,2.27%,30.0939545,0.023313219,0.016727795,-78.42%,0,-1.78,(0.47),1
54,2016/11/4,1302.8,1293.6,1282.375,1273.115,1267.568333,,1.8,0.14%,-1.65%,2.25%,29.86180548,0.023129485,0.020536697,-73.00%,0,-1.73,(0.46),1
55,2016/11/5,1302.8,1299.76,1285.605,1275.6675,1269.178333,,0,0.00%,-1.65%,2.24%,29.63471763,0.022949871,0.024095642,-73.56%,0,-1.74,(0.46),0
56,2016/11/6,1302.8,1302.63,1289.26,1278.0675,1270.646667,,0,0.00%,-1.65%,2.22%,29.41252194,0.022774233,0.02517091,-74.12%,0,-1.74,(0.46),0
57,2016/11/7,1283.05,1298.49,1290.265,1279.31,1271.456667,,-19.75,-1.52%,-3.14%,2.20%,29.17851648,0.022595585,0.021261702,-142.40%,0,-2.42,(0.65),1
58,2016/11/8,1282.35,1294.76,1291.2,1279.975,1272.243333,,-0.7,-0.05%,-3.19%,2.19%,28.95343318,0.022423928,0.017698396,-145.92%,0,-2.46,(0.66),1
59,2016/11/9,1281.4,1290.48,1292.04,1280.4625,1272.973333,1291.021667,-0.95,-0.07%,-3.26%,2.17%,28.73845329,0.022260241,0.013752579,-150.32%,0,-2.5,(0.67),1
60,2016/11/10,1267.5,1283.42,1291.59,1280.535,1273.441667,1290.07,-13.9,-1.08%,-4.31%,2.16%,28.65799481,0.022204551,0.007835721,-199.25%,0,-2.99,(0.80),1
61,2016/11/11,1236.45,1270.15,1286.39,1279.055,1272.773333,1288.600833,-31.05,-2.45%,-6.65%,2.21%,29.23400953,0.022666203,-0.002061116,-301.53%,0,-4.02,(1.08),1
62,2016/11/12,1236.45,1260.83,1279.66,1277.575,1271.953333,1287.1475,0,0.00%,-6.65%,2.25%,29.75667436,0.023086592,-0.00874508,-296.24%,0,-3.96,(1.06),0
63,2016/11/13,1236.45,1251.65,1273.205,1276.12,1271.443333,1285.725833,0,0.00%,-6.65%,2.28%,30.23181698,0.023470157,-0.01556761,-291.58%,0,-3.92,(1.05),0
64,2016/11/14,1213.6,1238.09,1264.285,1273.33,1270.171667,1284.105833,-22.85,-1.85%,-8.38%,2.37%,31.36826054,0.02437411,-0.025257741,-353.86%,0,-4.54,(1.22),1
65,2016/11/15,1226.95,1229.98,1256.7,1271.1525,1269.345,1282.749167,13.35,1.10%,-7.37%,2.41%,31.98090329,0.024867718,-0.031012057,-305.34%,0,-4.05,(1.08),1
66,2016/11/16,1229.2,1228.53,1249.34,1269.3,1268.491667,1281.43,2.25,0.18%,-7.20%,2.45%,32.48099933,0.025273255,-0.031503295,-293.71%,-0.01,-3.94,(1.06),1
67,2016/11/17,1226.75,1226.59,1243.71,1266.9875,1267.443333,1280.07,-2.45,-0.20%,-7.39%,2.49%,32.99985028,0.025694153,-0.032232868,-296.52%,0,-3.97,(1.06),1
68,2016/11/18,1211,1221.5,1236.575,1263.8875,1265.508333,1278.339167,-15.75,-1.28%,-8.58%,2.56%,33.91189172,0.026426149,-0.034775222,-334.99%,0,-4.35,(1.17),1
69,2016/11/19,1211,1220.98,1229.535,1260.7875,1263.486667,1276.625833,0,0.00%,-8.58%,2.62%,34.74386116,0.027096268,-0.033642355,-326.96%,-0.01,-4.27,(1.14),0
70,2016/11/20,1211,1217.79,1223.885,1257.7375,1261.651667,1274.7075,0,0.00%,-8.58%,2.68%,35.50498238,0.027711541,-0.034765275,-319.96%,-0.01,-4.2,(1.13),0
71,2016/11/21,1214.25,1214.8,1221.665,1254.0275,1259.925,1272.626667,3.25,0.27%,-8.33%,2.73%,36.11853051,0.028210898,-0.035815624,-305.52%,0,-4.06,(1.09),1
72,2016/11/22,1212.25,1211.9,1219.245,1249.4525,1258.131667,1270.52,-2,-0.16%,-8.48%,2.77%,36.73216647,0.028711093,-0.036746286,-305.86%,0,-4.06,(1.09),1
73,2016/11/23,1185.35,1206.77,1214.135,1243.67,1255.458333,1267.965,-26.9,-2.22%,-10.51%,2.87%,38.06396818,0.029781651,-0.038781322,-365.83%,0,-4.66,(1.25),1
74,2016/11/24,1186.1,1201.79,1211.385,1237.835,1252.681667,1265.4225,0.75,0.06%,-10.46%,2.96%,39.25429095,0.030742478,-0.040626177,-352.83%,0,-4.53,(1.21),1
75,2016/11/25,1187.7,1197.13,1207.46,1232.08,1249.921667,1262.875833,1.6,0.13%,-10.34%,3.04%,40.29740423,0.031588432,-0.04223598,-339.72%,0,-4.4,(1.18),1
76,2016/11/26,1187.7,1191.82,1203.31,1226.325,1247.303333,1260.554167,0,0.00%,-10.34%,3.11%,41.25602624,0.032368878,-0.044482631,-331.83%,0,-4.32,(1.16),0
77,2016/11/27,1187.7,1186.91,1199.405,1221.5575,1244.46,1258.3075,0,0.00%,-10.34%,3.18%,42.13930849,0.033090799,-0.046244958,-324.87%,0,-4.25,(1.14),0
78,2016/11/28,1187,1187.24,1197.005,1216.79,1241.593333,1256.1225,-0.7,-0.06%,-10.39%,3.24%,42.97252397,0.033774121,-0.043777082,-320.20%,0,-4.2,(1.13),1
79,2016/11/29,1186.55,1187.33,1194.56,1212.0475,1238.711667,1253.856667,-0.45,-0.04%,-10.42%,3.30%,43.75415898,0.034417456,-0.041479925,-315.51%,0,-4.16,(1.11),1
80,2016/11/30,1178.1,1185.41,1191.27,1207.5775,1235.581667,1251.45,-8.45,-0.71%,-11.06%,3.37%,44.6839505,0.035180673,-0.040605707,-327.86%,-0.01,-4.28,(1.15),1
81,2016/12/1,1161.85,1180.24,1186.03,1203.8475,1231.361667,1248.7725,-16.25,-1.38%,-12.29%,3.47%,45.97324124,0.03623343,-0.04151637,-354.01%,0,-4.54,(1.22),1
82,2016/12/2,1173.5,1177.4,1182.155,1200.7,1227.02,1246.4425,11.65,1.00%,-11.41%,3.54%,46.86358513,0.036968604,-0.040439439,-322.43%,-0.01,-4.22,(1.13),1
83,2016/12/3,1173.5,1174.7,1180.97,1197.5525,1222.77,1244.6125,0,0.00%,-11.41%,3.60%,47.69004752,0.03765386,-0.039312381,-316.84%,0,-4.17,(1.12),0
84,2016/12/4,1173.5,1172.09,1179.71,1195.5475,1218.46,1243.014167,0,0.00%,-11.41%,3.66%,48.4584557,0.038293653,-0.038056235,-311.81%,0,-4.12,(1.10),0
85,2016/12/5,1162.2,1168.91,1177.16,1192.31,1213.773333,1241.475833,-11.3,-0.96%,-12.26%,3.73%,49.43096499,0.039099259,-0.036961871,-328.54%,0,-4.29,(1.15),1
86,2016/12/6,1172.5,1171.04,1175.64,1189.475,1209.43,1240.038333,10.3,0.89%,-11.48%,3.78%,50.10955624,0.039669104,-0.031742226,-303.53%,0,-4.04,(1.08),1
87,2016/12/7,1177.65,1171.87,1174.635,1187.02,1205.916667,1238.686667,5.15,0.44%,-11.09%,3.82%,50.64222475,0.040121663,-0.028233018,-290.17%,0,-3.9,(1.04),1
88,2016/12/8,1171.05,1171.38,1173.04,1185.0225,1202.206667,1237.225,-6.6,-0.56%,-11.59%,3.87%,51.26553637,0.040648475,-0.025641737,-299.52%,0,-4,(1.07),1
89,2016/12/9,1163.6,1169.4,1170.745,1182.6525,1198.28,1235.626667,-7.45,-0.64%,-12.15%,3.93%,51.99617663,0.041263277,-0.024101212,-309.64%,0,-4.1,(1.10),1
90,2016/12/10,1163.6,1169.68,1169.295,1180.2825,1194.816667,1234.129167,0,0.00%,-12.15%,3.98%,52.67937612,0.041840666,-0.021038095,-305.62%,0,-4.06,(1.09),0
91,2016/12/11,1163.6,1167.9,1169.47,1177.75,1192.388333,1232.580833,0,0.00%,-12.15%,4.03%,53.31884926,0.042383493,-0.020537213,-301.96%,0,-4.02,(1.08),0
92,2016/12/12,1156.1,1163.59,1167.73,1174.9425,1189.71,1230.831667,-7.5,-0.64%,-12.72%,4.08%,54.06295631,0.043012455,-0.02195493,-311.67%,0,-4.12,(1.10),1
93,2016/12/13,1158.55,1161.09,1166.235,1173.6025,1187.113333,1229.278333,2.45,0.21%,-12.54%,4.13%,54.71329952,0.043566138,-0.021921524,-303.49%,0,-4.03,(1.08),1
94,2016/12/14,1162.25,1160.82,1165.11,1172.41,1185.401667,1227.786667,3.7,0.32%,-12.26%,4.17%,55.25683902,0.04403349,-0.020736994,-293.81%,0,-3.94,(1.05),1
95,2016/12/15,1126.95,1153.49,1161.585,1169.3725,1182.068333,1225.706667,-35.3,-3.04%,-14.92%,4.26%,56.48205582,0.0450577,-0.024176549,-349.93%,0,-4.5,(1.21),1
96,2016/12/16,1131.6,1147.09,1157.495,1166.5675,1178.815,1223.653333,4.65,0.41%,-14.57%,4.34%,57.52451129,0.045935372,-0.02691262,-335.51%,0,-4.36,(1.17),1
97,2016/12/17,1131.6,1142.19,1152.89,1163.7625,1175.643333,1221.543333,0,0.00%,-14.57%,4.42%,58.50150149,0.046761521,-0.028455342,-329.91%,0,-4.3,(1.15),0
98,2016/12/18,1131.6,1136.8,1148.945,1160.9925,1172.996667,1219.2525,0,0.00%,-14.57%,4.49%,59.41842965,0.047540295,-0.030858286,-324.82%,0,-4.25,(1.14),0
99,2016/12/19,1136.25,1131.6,1146.21,1158.4775,1170.505,1216.995833,4.65,0.41%,-14.22%,4.54%,60.19146514,0.048202609,-0.033237791,-312.92%,0,-4.13,(1.10),1
100,2016/12/20,1125.7,1131.35,1142.42,1155.8575,1167.661667,1214.656667,-10.55,-0.93%,-15.02%,4.61%,61.11868344,0.048992933,-0.031097764,-325.43%,0,-4.25,(1.14),1
101,2016/12/21,1133.65,1131.76,1139.425,1154.4475,1164.975,1212.45,7.95,0.71%,-14.42%,4.67%,61.84417371,0.049618883,-0.028511341,-308.76%,0,-4.09,(1.09),1
102,2016/12/22,1131.35,1131.71,1136.95,1152.34,1162.278333,1210.205,-2.3,-0.20%,-14.59%,4.72%,62.56832326,0.050244906,-0.026300355,-308.86%,0,-4.09,(1.09),1
103,2016/12/23,1131.35,1131.66,1134.23,1150.2325,1160.478333,1207.968333,0,0.00%,-14.59%,4.78%,63.25134491,0.050838118,-0.024833151,-305.53%,0,-4.06,(1.09),0
104,2016/12/24,1131.35,1130.68,1131.14,1148.125,1158.653333,1205.6675,0,0.00%,-14.59%,4.82%,63.89602336,0.051400668,-0.024142971,-302.44%,-0.01,-4.02,(1.08),0
105,2016/12/25,1131.35,1131.81,1131.58,1146.5825,1156.775,1203.348333,0,0.00%,-14.59%,4.87%,64.50488552,0.051934506,-0.021581552,-299.59%,0,-4,(1.07),0
106,2016/12/26,1131.35,1131.35,1131.555,1144.525,1154.896667,1201.1,0,0.00%,-14.59%,4.91%,65.08023211,0.052441411,-0.020388548,-296.94%,0,-3.97,(1.06),0
107,2016/12/27,1131.35,1131.35,1131.53,1142.21,1153.018333,1198.739167,0,0.00%,-14.59%,4.95%,65.62416435,0.05292301,-0.018792705,-294.48%,0,-3.94,(1.05),0
108,2016/12/28,1134.6,1132,1131.83,1140.3875,1151.271667,1196.4325,3.25,0.29%,-14.34%,4.99%,66.09078639,0.053340913,-0.016739461,-287.48%,0,-3.87,(1.03),1
109,2016/12/29,1145.9,1134.91,1132.795,1139.5025,1149.916667,1194.314167,11.3,1.00%,-13.49%,5.01%,66.38077292,0.053611589,-0.013050221,-269.20%,0,-3.69,(0.98),1
110,2016/12/30,1145.9,1137.82,1134.815,1138.6175,1148.843333,1192.2125,0,0.00%,-13.49%,5.03%,66.65384356,0.0538683,-0.009595158,-268.10%,0,-3.68,(0.98),0
111,2016/12/31,1145.9,1140.73,1136.04,1137.7325,1148.311667,1189.836667,0,0.00%,-13.49%,5.05%,66.91089991,0.054111755,-0.006602447,-267.07%,0,-3.67,(0.98),0
112,2017/1/1,1145.9,1143.64,1137.495,1137.2225,1147.391667,1187.205833,0,0.00%,-13.49%,5.07%,67.15278368,0.054342618,-0.003269735,-266.11%,0,-3.66,(0.98),0
113,2017/1/2,1145.9,1145.9,1138.95,1136.59,1146.471667,1184.620833,0,0.00%,-13.49%,5.09%,67.38028172,0.05456151,-0.000498631,-265.21%,0,-3.65,(0.97),0
114,2017/1/3,1151,1146.92,1140.915,1136.0275,1145.721667,1182.090833,5.1,0.45%,-13.11%,5.10%,67.53785423,0.054721449,0.00104592,-257.04%,0.01,-3.57,(0.95),1
115,2017/1/4,1164.25,1150.59,1144.205,1137.8925,1145.79,1179.781667,13.25,1.15%,-12.11%,5.10%,67.55642925,0.05476326,0.004189249,-237.36%,0,-3.37,(0.90),1
116,2017/1/5,1176.7,1156.75,1148.74,1140.1475,1145.93,1177.68,12.45,1.07%,-11.17%,5.09%,67.47078901,0.054715411,0.009442113,-219.21%,0,-3.19,(0.85),1
117,2017/1/6,1175.85,1162.74,1153.19,1142.36,1145.87,1175.893333,-0.85,-0.07%,-11.23%,5.09%,67.38909735,0.054670681,0.014722438,-220.73%,0,-3.21,(0.86),1
118,2017/1/7,1175.85,1168.73,1157.315,1144.5725,1146.03,1174.118333,0,0.00%,-11.23%,5.08%,67.30526977,0.054623822,0.019807509,-221.01%,0,-3.21,(0.86),0
119,2017/1/8,1175.85,1173.7,1160.31,1146.5525,1146.438333,1172.359167,0,0.00%,-11.23%,5.07%,67.21943398,0.054574943,0.023779444,-221.29%,0.01,-3.21,(0.85),0
120,2017/1/9,1178.5,1176.55,1163.57,1149.1925,1146.935,1170.875833,2.65,0.23%,-11.03%,5.07%,67.11407058,0.054508853,0.025820992,-217.69%,0.01,-3.18,(0.84),1
121,2017/1/10,1189.5,1179.11,1167.93,1151.985,1147.798333,1170.093333,11,0.93%,-10.20%,5.05%,66.94437123,0.054386143,0.027279763,-201.81%,0,-3.02,(0.80),1
122,2017/1/11,1178.55,1179.65,1171.195,1154.345,1148.546667,1169.128333,-10.95,-0.92%,-11.03%,5.05%,66.83726713,0.054317915,0.0270806,-218.52%,0,-3.19,(0.85),1
123,2017/1/12,1205.05,1185.49,1177.11,1158.03,1150.096667,1168.605,26.5,2.25%,-9.03%,5.03%,66.6060706,0.054139048,0.030774225,-179.49%,0,-2.79,(0.74),1
124,2017/1/13,1190.35,1188.39,1181.045,1160.98,1151.033333,1168.2175,-14.7,-1.22%,-10.14%,5.02%,66.43440005,0.054013534,0.032454896,-202.08%,0,-3.02,(0.81),1
125,2017/1/14,1190.35,1190.76,1183.655,1163.93,1153.146667,1167.6075,0,0.00%,-10.14%,5.00%,66.26351692,0.053888373,0.032617996,-202.60%,0,-3.03,(0.81),0
126,2017/1/15,1190.35,1190.93,1185.02,1166.88,1155.105,1166.96,0,0.00%,-10.14%,4.99%,66.09343348,0.053763582,0.031014497,-203.12%,0.01,-3.03,(0.80),0
127,2017/1/16,1203,1195.82,1187.735,1170.4625,1157.485,1166.564167,12.65,1.06%,-9.18%,4.97%,65.87556469,0.053595326,0.03311922,-184.59%,0,-2.85,(0.76),1
128,2017/1/17,1216.05,1198.02,1191.755,1174.535,1160.3,1166.648333,13.05,1.08%,-8.19%,4.95%,65.62976109,0.053399749,0.032508834,-165.40%,0.01,-2.65,(0.70),1
129,2017/1/18,1214.75,1202.9,1195.645,1177.9775,1162.916667,1166.710833,-1.3,-0.11%,-8.29%,4.94%,65.38875076,0.053208405,0.034381942,-168.00%,0,-2.68,(0.71),1
130,2017/1/19,1196.05,1204.04,1197.4,1180.485,1165.261667,1166.461667,-18.7,-1.54%,-9.70%,4.92%,65.20148297,0.053066855,0.033278648,-197.16%,0,-2.97,(0.79),1
131,2017/1/20,1200.55,1206.08,1198.505,1183.2175,1167.491667,1166.233333,4.5,0.38%,-9.37%,4.91%,64.99977495,0.05291186,0.033052342,-190.85%,0,-2.91,(0.77),1
132,2017/1/21,1200.55,1205.59,1200.705,1185.95,1169.798333,1166.038333,0,0.00%,-9.37%,4.89%,64.79980189,0.052758086,0.030596442,-191.44%,0,-2.91,(0.77),0
133,2017/1/22,1200.55,1202.49,1200.255,1188.6825,1172.105,1166.291667,0,0.00%,-9.37%,4.88%,64.6015421,0.052605521,0.025923445,-192.02%,0,-2.92,(0.78),0
134,2017/1/23,1212.85,1202.11,1202.505,1191.775,1174.821667,1166.7375,12.3,1.02%,-8.44%,4.86%,64.37500575,0.052425853,0.023227639,-173.59%,0,-2.74,(0.73),1
135,2017/1/24,1216.8,1206.26,1205.15,1194.4025,1177.67,1167.2225,3.95,0.33%,-8.14%,4.84%,64.1449379,0.05224197,0.02427675,-168.06%,0,-2.68,(0.71),1
136,2017/1/25,1195,1205.15,1205.615,1195.3175,1179.791667,1167.344167,-21.8,-1.79%,-9.78%,4.83%,63.97152229,0.052110908,0.021493908,-202.59%,0,-3.03,(0.81),1
137,2017/1/26,1189.7,1202.98,1204.285,1196.01,1181.736667,1167.3775,-5.3,-0.44%,-10.18%,4.82%,63.82034195,0.051999392,0.017976368,-211.37%,0,-3.11,(0.83),1
138,2017/1/27,1184.85,1199.84,1201.165,1196.46,1183.411667,1167.341667,-4.85,-0.41%,-10.55%,4.81%,63.69161461,0.051907432,0.01388218,-219.42%,0,-3.19,(0.85),1
139,2017/1/28,1184.85,1194.24,1198.175,1196.91,1184.71,1167.313333,0,0.00%,-10.55%,4.80%,63.56303317,0.051815362,0.008044163,-219.86%,0,-3.2,(0.85),0
140,2017/1/29,1184.85,1187.85,1197.055,1197.2275,1186.008333,1167.425833,0,0.00%,-10.55%,4.79%,63.43462028,0.051723203,0.001552828,-220.31%,0,-3.2,(0.85),0
141,2017/1/30,1192.8,1187.41,1196.28,1197.3925,1187.571667,1167.941667,7.95,0.67%,-9.95%,4.78%,63.27337093,0.051601687,-0.000136132,-208.30%,0,-3.08,(0.82),1
142,2017/1/31,1212.8,1192.03,1197.505,1199.105,1189.801667,1168.596667,20,1.68%,-8.44%,4.76%,63.06161658,0.051432921,0.001872861,-177.29%,0,-2.77,(0.74),1
143,2017/2/1,1203.65,1195.79,1197.815,1199.035,1191.726667,1169.099167,-9.15,-0.75%,-9.13%,4.75%,62.86990556,0.051283081,0.003409619,-192.38%,0,-2.92,(0.78),1
144,2017/2/2,1221.95,1203.21,1198.725,1200.615,1194.091667,1169.906667,18.3,1.52%,-7.75%,4.73%,62.65360723,0.051107793,0.007636209,-163.84%,0,-2.64,(0.70),1
