index,Date,Value,ma5,ma10,ma20,ma30,ma60
47,2016/10/29,1273,1268.94,1268.36,1262.05,1272.15,
48,2016/10/30,1273,1270.43,1268.75,1262.77,1270.65,
49,2016/10/31,1272,1271.15,1268.88,1263.44,1269,
50,2016/11/1,1288.45,1271.45,1269.48,1264.37,1267.32,
51,2016/11/2,1303.75,1275.89,1271.72,1265.96,1266.18,
52,2016/11/3,1301,1282.04,1275.49,1268.1,1265.87,
53,2016/11/4,1302.8,1287.64,1279.04,1270.56,1266.45,
54,2016/11/5,1302.8,1293.6,1282.38,1273.12,1267.57,
55,2016/11/6,1302.8,1299.76,1285.61,1275.67,1269.18,
56,2016/11/7,1283.05,1302.63,1289.26,1278.07,1270.65,
57,2016/11/8,1282.35,1298.49,1290.26,1279.31,1271.46,
58,2016/11/9,1281.4,1294.76,1291.2,1279.97,1272.24,
59,2016/11/10,1267.5,1290.48,1292.04,1280.46,1272.97,
60,2016/11/11,1236.45,1283.42,1291.59,1280.54,1273.44,1290.07
61,2016/11/12,1236.45,1270.15,1286.39,1279.06,1272.77,1288.6
62,2016/11/13,1236.45,1260.83,1279.66,1277.58,1271.95,1287.15
63,2016/11/14,1213.6,1251.65,1273.2,1276.12,1271.44,1285.73
64,2016/11/15,1226.95,1238.09,1264.29,1273.33,1270.17,1284.11
65,2016/11/16,1229.2,1229.98,1256.7,1271.15,1269.35,1282.75
66,2016/11/17,1226.75,1228.53,1249.34,1269.3,1268.49,1281.43
67,2016/11/18,1211,1226.59,1243.71,1266.99,1267.44,1280.07
68,2016/11/19,1211,1221.5,1236.58,1263.89,1265.51,1278.34
69,2016/11/20,1211,1220.98,1229.54,1260.79,1263.49,1276.63
70,2016/11/21,1214.25,1217.79,1223.88,1257.74,1261.65,1274.71
71,2016/11/22,1212.25,1214.8,1221.66,1254.03,1259.92,1272.63
72,2016/11/23,1185.35,1211.9,1219.24,1249.45,1258.13,1270.52
73,2016/11/24,1186.1,1206.77,1214.13,1243.67,1255.46,1267.96
74,2016/11/25,1187.7,1201.79,1211.38,1237.84,1252.68,1265.42
75,2016/11/26,1187.7,1197.13,1207.46,1232.08,1249.92,1262.88
76,2016/11/27,1187.7,1191.82,1203.31,1226.33,1247.3,1260.55
77,2016/11/28,1187,1186.91,1199.4,1221.56,1244.46,1258.31
78,2016/11/29,1186.55,1187.24,1197.01,1216.79,1241.59,1256.12
79,2016/11/30,1178.1,1187.33,1194.56,1212.05,1238.71,1253.86
80,2016/12/1,1161.85,1185.41,1191.27,1207.58,1235.58,1251.45
81,2016/12/2,1173.5,1180.24,1186.03,1203.85,1231.36,1248.77
82,2016/12/3,1173.5,1177.4,1182.15,1200.7,1227.02,1246.44
83,2016/12/4,1173.5,1174.7,1180.97,1197.55,1222.77,1244.61
84,2016/12/5,1162.2,1172.09,1179.71,1195.55,1218.46,1243.01
85,2016/12/6,1172.5,1168.91,1177.16,1192.31,1213.77,1241.48
86,2016/12/7,1177.65,1171.04,1175.64,1189.47,1209.43,1240.04
87,2016/12/8,1171.05,1171.87,1174.63,1187.02,1205.92,1238.69
88,2016/12/9,1163.6,1171.38,1173.04,1185.02,1202.21,1237.22
89,2016/12/10,1163.6,1169.4,1170.74,1182.65,1198.28,1235.63
90,2016/12/11,1163.6,1169.68,1169.3,1180.28,1194.82,1234.13
91,2016/12/12,1156.1,1167.9,1169.47,1177.75,1192.39,1232.58
92,2016/12/13,1158.55,1163.59,1167.73,1174.94,1189.71,1230.83
93,2016/12/14,1162.25,1161.09,1166.23,1173.6,1187.11,1229.28
94,2016/12/15,1126.95,1160.82,1165.11,1172.41,1185.4,1227.79
95,2016/12/16,1131.6,1153.49,1161.59,1169.37,1182.07,1225.71
96,2016/12/17,1131.6,1147.09,1157.49,1166.57,1178.82,1223.65
97,2016/12/18,1131.6,1142.19,1152.89,1163.76,1175.64,1221.54
98,2016/12/19,1136.25,1136.8,1148.94,1160.99,1173,1219.25
99,2016/12/20,1125.7,1131.6,1146.21,1158.48,1170.5,1217
100,2016/12/21,1133.65,1131.35,1142.42,1155.86,1167.66,1214.66
101,2016/12/22,1131.35,1131.76,1139.42,1154.45,1164.97,1212.45
102,2016/12/23,1131.35,1131.71,1136.95,1152.34,1162.28,1210.2
103,2016/12/24,1131.35,1131.66,1134.23,1150.23,1160.48,1207.97
104,2016/12/28,1134.6,1130.68,1131.14,1148.12,1158.65,1205.67
105,2016/12/29,1145.9,1132.46,1131.9,1146.74,1156.88,1203.4
106,2016/12/30,1145.9,1134.91,1133.34,1145.41,1155.49,1201.4
107,2016/12/31,1145.9,1137.82,1134.76,1143.83,1154.1,1199.28
108,2017/1/3,1151,1140.73,1136.19,1142.57,1152.73,1197.16
109,2017/1/4,1164.25,1144.66,1137.67,1141.94,1151.54,1195.13
110,2017/1/5,1176.7,1150.59,1141.53,1141.97,1151.08,1193.33
111,2017/1/6,1175.85,1156.75,1145.83,1142.63,1151.58,1191.47
112,2017/1/7,1175.85,1162.74,1150.28,1143.62,1151.65,1189.34
113,2017/1/8,1175.85,1168.73,1154.73,1144.48,1151.73,1187.25
114,2017/1/9,1178.5,1173.7,1159.18,1145.16,1151.81,1185.13
115,2017/1/10,1189.5,1176.55,1163.57,1147.74,1152.35,1183.06
116,2017/1/11,1178.55,1179.11,1167.93,1150.63,1152.92,1181.17
117,2017/1/12,1205.05,1179.65,1171.19,1152.98,1152.95,1179.43
118,2017/1/13,1190.35,1185.49,1177.11,1156.65,1154.08,1178.14
119,2017/1/14,1190.35,1188.39,1181.05,1159.36,1154.97,1176.63
120,2017/1/15,1190.35,1190.76,1183.65,1162.59,1155.87,1175.34
121,2017/1/16,1203,1190.93,1185.02,1165.42,1156.76,1174.57
122,2017/1/17,1216.05,1195.82,1187.73,1169.01,1158.32,1174.02
123,2017/1/18,1214.75,1198.02,1191.75,1173.24,1160.24,1173.68
124,2017/1/19,1196.05,1202.9,1195.64,1177.41,1161.99,1173.69
125,2017/1/20,1200.55,1204.04,1197.4,1180.48,1164.29,1173.18
126,2017/1/21,1200.55,1206.08,1198.5,1183.22,1166.59,1172.7
127,2017/1/22,1200.55,1205.59,1200.7,1185.95,1168.89,1172.27
128,2017/1/23,1212.85,1202.49,1200.25,1188.68,1171.19,1172.09
129,2017/1/24,1216.8,1202.11,1202.5,1191.77,1173.74,1172.12
130,2017/1/25,1195,1206.26,1205.15,1194.4,1176.78,1172.22
131,2017/1/26,1189.7,1205.15,1205.62,1195.32,1178.82,1171.9
132,2017/1/27,1184.85,1202.98,1204.28,1196.01,1180.77,1171.52
133,2017/1/28,1184.85,1199.84,1201.16,1196.46,1182.55,1171.51
134,2017/1/29,1184.85,1194.24,1198.17,1196.91,1184.33,1171.49
135,2017/1/30,1192.8,1187.85,1197.05,1197.23,1186.01,1171.45
136,2017/1/31,1212.8,1187.41,1196.28,1197.39,1187.57,1171.53
137,2017/2/1,1203.65,1192.03,1197.5,1199.11,1189.8,1171.95
138,2017/2/2,1221.95,1195.79,1197.82,1199.03,1191.73,1172.23
139,2017/2/3,1215.2,1203.21,1198.72,1200.62,1194.09,1172.82
140,2017/2/4,1215.2,1209.28,1198.57,1201.86,1195.79,1173.43
141,2017/2/5,1215.2,1213.76,1200.59,1203.1,1197.07,1174.32
142,2017/2/6,1226.75,1214.24,1203.13,1203.71,1198.38,1175.02
143,2017/2/7,1231,1218.86,1207.33,1204.24,1200.08,1175.91
144,2017/2/8,1242.1,1220.67,1211.94,1205.06,1201.92,1176.87
145,2017/2/9,1236.8,1226.05,1217.66,1207.36,1204.04,1178.2
146,2017/2/10,1228.3,1230.37,1222.07,1209.17,1205.62,1179.27
147,2017/2/11,1228.3,1232.99,1223.62,1210.56,1207.27,1180.11
148,2017/2/12,1228.3,1233.3,1226.08,1211.95,1208.05,1181.07
149,2017/2/13,1222.25,1232.76,1226.71,1212.72,1209.32,1182.14
150,2017/2/14,1230.75,1228.79,1227.42,1212.99,1210.38,1183.12
151,2017/2/15,1224.4,1227.58,1228.97,1214.78,1211.72,1184.24
152,2017/2/16,1240.55,1226.8,1229.89,1216.51,1212.44,1185.38
153,2017/2/17,1241.95,1229.25,1231.28,1219.3,1213.25,1186.75
154,2017/2/18,1241.95,1231.98,1232.37,1222.15,1214.16,1188.08
155,2017/2/19,1241.95,1235.92,1232.36,1225.01,1215.69,1189.99
156,2017/2/20,1237.3,1238.16,1232.87,1227.47,1217.07,1191.83
157,2017/2/21,1233.2,1240.74,1233.77,1228.69,1218.3,1193.59
158,2017/2/22,1236.65,1239.27,1234.26,1230.17,1219.38,1195.29
159,2017/2/23,1247.9,1238.21,1235.1,1230.9,1220.18,1196.96
160,2017/2/24,1253.65,1239.4,1237.66,1232.54,1221.21,1199
161,2017/2/25,1253.65,1241.74,1239.95,1234.46,1223.17,1201
162,2017/2/26,1253.65,1245.01,1242.88,1236.38,1225.3,1203.03
163,2017/2/27,1257.2,1249.1,1244.18,1237.73,1227.6,1205.07
164,2017/2/28,1255.6,1253.21,1245.71,1239.04,1230.01,1207.17
165,2017/3/1,1240.4,1254.75,1247.08,1239.71,1232.37,1209.19
166,2017/3/2,1238.1,1252.1,1246.92,1239.89,1233.95,1210.76
167,2017/3/3,1226.5,1248.99,1247,1240.38,1234.8,1212.3
168,2017/3/4,1226.5,1243.56,1246.33,1240.3,1235.56,1213.64
169,2017/3/5,1226.5,1237.42,1245.32,1240.2,1235.71,1214.9
170,2017/3/6,1230.95,1231.6,1243.17,1240.42,1236.09,1215.94
171,2017/3/7,1216.65,1229.71,1240.9,1240.43,1236.61,1216.84
172,2017/3/8,1209.2,1225.42,1237.2,1240.04,1236.66,1217.52
173,2017/3/9,1206.55,1221.96,1232.76,1238.47,1236.07,1218.08
174,2017/3/10,1202.65,1217.97,1227.69,1236.7,1235.26,1218.59
175,2017/3/11,1202.65,1213.2,1222.4,1234.74,1233.94,1218.99
176,2017/3/12,1202.65,1207.54,1218.62,1232.77,1232.81,1219.21
177,2017/3/13,1204.2,1204.74,1215.08,1231.04,1231.95,1219.61
178,2017/3/14,1204.6,1203.74,1212.85,1229.59,1231.15,1219.6
179,2017/3/15,1198.8,1203.35,1210.66,1227.99,1230.36,1219.84
180,2017/3/16,1229.35,1202.58,1207.89,1225.53,1229.58,1219.98
181,2017/3/17,1229.6,1207.92,1207.73,1224.32,1229.53,1220.63
182,2017/3/18,1229.6,1213.31,1209.03,1223.12,1229.7,1221.07
183,2017/3/19,1229.6,1218.39,1211.07,1221.91,1229.34,1221.3
184,2017/3/20,1232.4,1223.39,1213.37,1220.53,1228.92,1221.54
185,2017/3/21,1241.6,1230.11,1216.35,1219.37,1228.61,1222.15
186,2017/3/22,1249.05,1232.56,1220.24,1219.43,1228.6,1222.83
187,2017/3/23,1247.5,1236.45,1224.88,1219.98,1228.99,1223.64
188,2017/3/24,1247.5,1240.03,1229.21,1221.03,1229.46,1224.42
189,2017/3/25,1247.5,1243.61,1233.5,1222.08,1229.83,1225
190,2017/3/26,1247.5,1246.63,1238.37,1223.13,1229.81,1225.51
191,2017/3/27,1257.55,1247.81,1240.18,1223.96,1229.61,1226.39
192,2017/3/28,1257.25,1249.51,1242.98,1226,1229.74,1227.52
193,2017/3/29,1251.1,1251.46,1245.74,1228.4,1229.86,1228.73
194,2017/3/30,1248.8,1252.18,1247.89,1230.63,1229.65,1229.83
195,2017/3/31,1244.85,1252.44,1249.53,1232.94,1229.43,1230.9
196,2017/4/1,1244.85,1251.91,1249.86,1235.05,1229.58,1231.76
197,2017/4/2,1244.85,1249.37,1249.44,1237.16,1229.8,1232.3
198,2017/4/3,1247.25,1246.89,1249.17,1239.19,1230.41,1232.98
199,2017/4/4,1257.65,1246.12,1249.15,1241.33,1231.1,1233.41
200,2017/4/5,1245.8,1247.89,1250.16,1244.27,1232.14,1234.11
201,2017/4/6,1252.5,1248.08,1249.99,1245.09,1232.64,1234.62
202,2017/4/7,1266.45,1249.61,1249.49,1246.23,1233.83,1235.24
203,2017/4/8,1266.45,1253.93,1250.41,1248.08,1235.74,1235.91
204,2017/4/9,1266.45,1257.77,1251.94,1249.92,1237.74,1236.5
205,2017/4/10,1250.05,1259.53,1253.71,1251.62,1239.86,1236.9
206,2017/4/11,1252.9,1260.38,1254.23,1252.05,1241.44,1237.12
207,2017/4/12,1274.3,1260.46,1255.04,1252.24,1243.12,1237.53
208,2017/4/13,1284.15,1262.03,1257.98,1253.58,1245.45,1238.3
209,2017/4/14,1284.15,1265.57,1261.67,1255.41,1248.11,1239.23
210,2017/4/15,1284.15,1269.11,1264.32,1257.24,1250.95,1240.26
211,2017/4/18,1278.95,1275.93,1268.15,1259.08,1252.78,1241.15
212,2017/4/19,1279.05,1281.14,1270.8,1260.14,1254.42,1242.06
213,2017/4/20,1282.1,1282.09,1272.06,1261.23,1256.07,1242.7
214,2017/4/21,1281.85,1281.68,1273.62,1262.79,1257.82,1243.37
215,2017/4/22,1281.85,1281.22,1275.16,1264.44,1259.47,1244.04
216,2017/4/23,1281.85,1280.76,1278.35,1266.29,1260.81,1244.7
217,2017/4/24,1269.4,1281.34,1281.24,1268.14,1261.9,1245.45
218,2017/4/25,1267.8,1279.41,1280.75,1269.37,1262.63,1246.05
219,2017/4/26,1261.85,1276.55,1279.12,1270.39,1263.31,1246.57
220,2017/4/27,1262.8,1272.55,1276.88,1270.6,1263.79,1246.8
221,2017/4/28,1266.45,1268.74,1274.75,1271.45,1264.3,1246.95
222,2017/4/29,1266.45,1265.66,1273.5,1272.15,1264.6,1247.17
223,2017/4/30,1266.45,1265.07,1272.24,1272.15,1264.9,1247.38
224,2017/5/2,1255.45,1264.8,1270.67,1272.15,1265.41,1247.53
225,2017/5/3,1250.3,1263.52,1268.04,1271.6,1265.64,1247.53
226,2017/5/4,1228.45,1261.02,1264.88,1271.61,1265.82,1247.7
227,2017/5/5,1228.05,1253.42,1259.54,1270.39,1265.27,1247.54
228,2017/5/6,1228.05,1245.74,1255.4,1268.08,1264.71,1247.56
229,2017/5/7,1228.05,1238.06,1251.43,1265.27,1264.07,1247.59
230,2017/5/8,1229.8,1232.58,1248.05,1262.47,1263.09,1247.61
231,2017/5/9,1220.4,1228.48,1244.75,1259.75,1262.55,1247.59
232,2017/5/10,1222.95,1226.87,1240.14,1256.82,1261.48,1247.66
233,2017/5/11,1223.15,1225.85,1235.8,1254.02,1260.03,1247.89
234,2017/5/12,1231.25,1224.87,1231.46,1251.07,1258.59,1248.16
235,2017/5/13,1231.25,1225.51,1229.05,1248.54,1257.41,1248.64
236,2017/5/14,1231.25,1225.8,1227.14,1246.01,1256.79,1249.12
237,2017/5/15,1233.3,1227.97,1227.42,1243.48,1256.07,1249.59
238,2017/5/16,1234.2,1230.04,1227.94,1241.67,1254.7,1250.08
239,2017/5/17,1257.4,1232.25,1228.56,1239.99,1253.04,1250.57
240,2017/5/18,1255.9,1237.48,1231.5,1239.77,1252.14,1251.55
241,2017/5/19,1252,1242.41,1234.11,1239.43,1251.2,1251.99
242,2017/5/20,1252,1246.56,1237.27,1238.7,1250.3,1252.36
243,2017/5/21,1252,1250.3,1240.17,1237.98,1249.4,1252.74
244,2017/5/22,1258.85,1253.86,1243.06,1237.26,1248.4,1253.11
245,2017/5/23,1260.2,1254.15,1245.82,1237.43,1247.63,1253.55
246,2017/5/24,1252.55,1255.01,1248.71,1237.92,1246.91,1253.86
247,2017/5/25,1256.95,1255.12,1250.84,1239.13,1245.93,1253.92
248,2017/5/26,1265.05,1256.11,1253.2,1240.58,1245.52,1254.08
249,2017/5/27,1265.05,1258.72,1256.29,1242.42,1245.43,1254.37
250,2017/5/28,1265.05,1259.96,1257.06,1244.28,1245.53,1254.66
251,2017/5/30,1262.7,1260.93,1257.97,1246.04,1245.61,1254.95
252,2017/5/31,1266.2,1262.96,1259.04,1248.15,1245.48,1255.04
253,2017/6/1,1264.85,1264.81,1260.46,1250.32,1245.47,1255.19
254,2017/6/2,1274.95,1264.77,1261.74,1252.4,1245.42,1255.42
255,2017/6/3,1274.95,1266.75,1263.36,1254.59,1246.07,1255.85
256,2017/6/4,1274.95,1268.73,1264.83,1256.77,1246.89,1256.36
257,2017/6/5,1279.95,1271.18,1267.07,1258.95,1248.44,1256.86
258,2017/6/6,1293.5,1273.93,1269.37,1261.29,1250.17,1257.44
259,2017/6/7,1291,1279.66,1272.21,1264.25,1252.36,1258.21
260,2017/6/8,1273.1,1282.87,1274.81,1265.93,1254.45,1258.77
261,2017/6/9,1266.55,1282.5,1275.62,1266.79,1255.9,1259.22
262,2017/6/10,1266.55,1280.82,1276,1267.52,1257.43,1259.46
263,2017/6/11,1266.55,1278.14,1276.04,1268.25,1258.89,1259.46
264,2017/6/12,1266.4,1272.75,1276.2,1268.97,1260.34,1259.46
265,2017/6/13,1262,1267.83,1275.35,1269.35,1261.51,1259.46
266,2017/6/14,1275.5,1265.61,1274.06,1269.44,1262.53,1259.66
267,2017/6/15,1254.55,1267.4,1274.11,1270.59,1264.01,1260.04
268,2017/6/16,1255.4,1265,1271.57,1270.47,1264.71,1259.71
269,2017/6/17,1255.4,1262.77,1267.76,1269.99,1265.42,1259.23
270,2017/6/18,1255.4,1260.57,1264.2,1269.51,1265.36,1258.75
271,2017/6/19,1248.15,1259.25,1262.43,1269.02,1265.34,1258.27
272,2017/6/20,1242.2,1253.78,1260.59,1268.3,1265.21,1257.76
273,2017/6/21,1242.5,1251.31,1258.15,1267.1,1264.88,1257.14
274,2017/6/22,1250.8,1248.73,1255.75,1265.98,1264.57,1256.48
275,2017/6/23,1255.7,1247.81,1254.19,1264.77,1264.3,1255.96
276,2017/6/24,1255.7,1247.87,1253.56,1263.81,1264.15,1255.53
277,2017/6/25,1255.7,1249.38,1251.58,1262.85,1264.25,1255.09
278,2017/6/26,1245.25,1252.08,1251.7,1261.63,1264.21,1254.87
279,2017/6/27,1249.55,1252.63,1250.68,1259.22,1263.55,1254.49
280,2017/6/28,1248,1252.38,1250.1,1257.15,1263.04,1254.28
281,2017/6/29,1243.5,1250.84,1249.36,1255.89,1262.47,1254.04
282,2017/6/30,1242.25,1248.4,1248.89,1254.74,1261.83,1253.65
283,2017/7/1,1242.25,1245.71,1248.89,1253.53,1261.03,1253.25
284,2017/7/2,1242.25,1245.11,1248.87,1252.31,1260.28,1252.85
285,2017/7/3,1229.25,1243.65,1248.02,1251.1,1259.18,1252.63
286,2017/7/4,1223.75,1239.9,1245.37,1249.46,1257.66,1252.28
287,2017/7/5,1220.3,1235.95,1242.17,1246.88,1255.95,1252.2
288,2017/7/6,1224.9,1231.56,1238.63,1245.16,1253.97,1252.07
289,2017/7/7,1215.65,1228.09,1236.6,1243.64,1251.68,1252.02
290,2017/7/8,1215.65,1222.77,1233.21,1241.65,1249.17,1251.81
291,2017/7/9,1215.65,1220.05,1229.97,1239.66,1247.25,1251.58
292,2017/7/10,1211.9,1218.43,1227.19,1238.04,1245.56,1251.5
293,2017/7/11,1211.05,1216.75,1224.15,1236.53,1243.74,1251.31
294,2017/7/12,1218.8,1213.98,1221.04,1234.95,1241.88,1251.11
295,2017/7/13,1218.9,1214.61,1218.69,1233.35,1240.3,1250.9
296,2017/7/14,1230.3,1215.26,1217.65,1231.51,1238.86,1250.7
297,2017/7/15,1230.3,1218.19,1218.31,1230.24,1237.36,1250.68
298,2017/7/16,1230.3,1221.87,1219.31,1228.97,1236.55,1250.63
299,2017/7/17,1234.1,1225.72,1219.85,1228.22,1235.71,1250.57
300,2017/7/18,1240.75,1228.78,1221.69,1227.45,1235,1250.18
301,2017/7/19,1242.15,1233.15,1224.2,1227.09,1234.51,1249.92
302,2017/7/20,1238.7,1235.52,1226.86,1227.02,1234.31,1249.76
303,2017/7/21,1248.55,1237.2,1229.54,1226.85,1234.19,1249.54
304,2017/7/22,1248.55,1240.85,1233.29,1227.16,1234.4,1249.48
305,2017/7/23,1248.55,1243.74,1236.26,1227.47,1234.32,1249.31
306,2017/7/24,1255.55,1245.3,1239.22,1228.44,1234.08,1249.12
307,2017/7/25,1254.4,1247.98,1241.75,1230.03,1234.08,1249.17
308,2017/7/26,1248.1,1251.12,1244.16,1231.74,1234.04,1249.12
309,2017/7/27,1261.1,1251.03,1245.94,1232.89,1234.13,1248.84
310,2017/7/28,1264.9,1253.54,1248.64,1235.17,1234.52,1248.78
311,2017/7/29,1264.9,1256.81,1251.06,1237.63,1235.08,1248.77
312,2017/7/30,1264.9,1258.68,1253.33,1240.09,1235.79,1248.81
313,2017/7/31,1267.55,1260.78,1255.95,1242.74,1236.55,1248.79
314,2017/8/1,1270.95,1264.67,1257.85,1245.57,1237.39,1248.83
315,2017/8/2,1269.6,1266.64,1260.09,1248.17,1238.35,1248.77
316,2017/8/3,1268.1,1267.58,1262.19,1250.71,1239.69,1248.68
317,2017/8/4,1257.7,1268.22,1263.45,1252.6,1241.17,1248.56
318,2017/8/5,1257.7,1266.78,1263.78,1253.97,1242.42,1248.19
319,2017/8/6,1257.7,1264.81,1264.74,1255.34,1243.51,1247.6
320,2017/8/7,1258,1262.16,1264.4,1256.52,1244.91,1247.04
321,2017/8/8,1261.8,1259.84,1263.71,1257.38,1246.32,1246.79
322,2017/8/9,1271.05,1258.58,1263.4,1258.37,1247.86,1246.71
323,2017/8/10,1284.4,1261.25,1264.01,1259.98,1249.83,1246.78
324,2017/8/11,1286.1,1266.59,1265.7,1261.78,1252.28,1247.08
325,2017/8/12,1286.1,1272.27,1267.21,1263.65,1254.52,1247.41
326,2017/8/13,1286.1,1277.89,1268.87,1265.53,1256.76,1247.81
327,2017/8/14,1282.3,1282.75,1270.66,1267.06,1258.62,1247.99
328,2017/8/15,1270.3,1285,1273.12,1268.45,1260.36,1248.45
329,2017/8/16,1272.75,1282.18,1274.38,1269.56,1261.69,1248.7
330,2017/8/17,1285.15,1279.51,1275.89,1270.14,1262.98,1248.99
331,2017/8/18,1295.8,1279.32,1278.61,1271.16,1264.46,1249.48
332,2017/8/19,1295.8,1281.26,1282,1272.7,1266.24,1250.28
333,2017/8/20,1295.8,1283.96,1284.48,1274.25,1268.15,1251.17
334,2017/8/21,1292.9,1289.06,1285.62,1275.66,1269.72,1252.06
335,2017/8/22,1284.2,1293.09,1286.3,1276.76,1271.2,1252.76
336,2017/8/23,1286.65,1292.9,1286.11,1277.49,1272.39,1253.24
337,2017/8/24,1289,1291.07,1286.16,1278.41,1273.43,1253.75
338,2017/8/25,1285.3,1289.71,1286.84,1279.98,1274.58,1254.31
339,2017/8/26,1285.3,1287.61,1288.34,1281.36,1275.82,1254.97
340,2017/8/27,1285.3,1286.09,1289.59,1282.74,1276.63,1255.57
341,2017/8/29,1318.65,1286.31,1289.61,1284.11,1277.31,1256.19
342,2017/8/30,1308.5,1292.71,1291.89,1286.95,1279.1,1257.44
343,2017/8/31,1311.75,1296.61,1293.16,1288.82,1280.55,1258.55
344,2017/9/1,1320.4,1301.9,1294.76,1290.19,1282.03,1259.71
345,2017/9/2,1320.4,1308.92,1297.51,1291.9,1283.67,1261.01
346,2017/9/3,1320.4,1315.94,1301.12,1293.62,1285.37,1262.53
347,2017/9/4,1333.1,1316.29,1304.5,1295.33,1287.11,1264.14
348,2017/9/5,1335.55,1321.21,1308.91,1297.87,1289.62,1266.02
349,2017/9/6,1337.85,1325.97,1313.93,1301.13,1292.22,1267.86
350,2017/9/7,1343.5,1329.46,1319.19,1304.39,1294.89,1269.9
351,2017/9/8,1346.25,1334.08,1325.01,1307.31,1297.74,1272.03
352,2017/9/9,1346.25,1339.25,1327.77,1309.83,1300.56,1274.21
353,2017/9/10,1346.25,1341.88,1331.55,1312.35,1303.06,1276.45
354,2017/9/11,1334.2,1344.02,1334.99,1314.88,1305.12,1278.7
355,2017/9/12,1326.5,1343.29,1336.38,1316.94,1306.73,1280.62
356,2017/9/13,1327.55,1339.89,1336.98,1319.06,1308.07,1282.42
357,2017/9/14,1324.55,1336.15,1337.7,1321.1,1309.45,1284.04
358,2017/9/15,1322.85,1331.81,1336.85,1322.88,1310.86,1285.61
359,2017/9/16,1322.85,1327.13,1335.58,1324.76,1312.62,1287.15
360,2017/9/17,1322.85,1324.86,1334.08,1326.63,1314.29,1288.63
361,2017/9/18,1312.1,1324.13,1332.01,1328.51,1315.54,1290
362,2017/9/19,1309.6,1321.04,1328.6,1328.18,1316.09,1291.16
363,2017/9/20,1311.3,1318.05,1324.93,1328.24,1316.55,1292.35
364,2017/9/21,1292.1,1315.74,1321.43,1328.21,1317.06,1293.39
365,2017/9/22,1294.8,1309.59,1317.22,1326.8,1317.04,1294.12
366,2017/9/23,1294.8,1303.98,1314.05,1325.52,1317.39,1294.89
367,2017/9/24,1294.8,1300.52,1310.78,1324.24,1317.66,1295.54
368,2017/9/25,1293.3,1297.56,1307.8,1322.33,1317.85,1296.22
369,2017/9/26,1300.05,1293.96,1304.85,1320.21,1318.12,1296.97
370,2017/9/27,1282.55,1295.55,1302.57,1318.32,1318.61,1297.62
371,2017/9/28,1283.35,1293.1,1298.54,1315.27,1318.52,1297.91
