index,date,B_value,B_Profit rate,B _credit_of_future_tendency,B_Risk_credit,G_value,G_Profit rate,G_Credit_of_future_tendency,G_Risk_credit,DealDay,Gold_buy_credit,Bit_buy_credit,Bit_Credit_to_SELL,GOLD_Credit_to_SELL
13,2016/9/24,603.88,0.016496095,0,-3.663238186,1338.65,0,-0.000807661,0.282654552,0,,0.625379484,-0.18950185,0.07
14,2016/9/25,601.74,-0.00354375,0,-4.01946012,1338.65,0,0.000864468,0.231332847,0,,0.629152271,-0.238692321,0.06
15,2016/9/26,598.98,-0.004586699,0,-4.399538306,1340.5,0.001381989,0.002364064,0.340641184,1,,0.633201872,-0.262342011,0.09
16,2016/9/27,605.96,0.011653144,0,-3.424880548,1327,-0.010070869,0.003288425,-0.791857187,1,,0.635631611,-0.182328686,-0.21
17,2016/9/28,605.67,-0.000478579,0,-3.540378863,1322.5,-0.003391108,-3.72E-05,-1.187318721,1,,0.640486333,-0.206543526,-0.32
18,2016/9/29,603.85,-0.003004937,0,-3.895064076,1318.1,-0.003327032,0.000614353,-1.591527911,1,,0.643532172,-0.231008346,-0.43
19,2016/9/30,609.39,0.009174464,0,-3.032488097,1322.5,0.003338138,0.000581352,-1.196024847,1,,0.647501736,-0.163183956,-0.32
20,2016/10/1,614.82,0.00891055,0,-2.109831284,1322.5,0,0.001127592,-1.200820422,0,,0.650986597,-0.110113442,-0.32
21,2016/10/2,612.98,-0.002992746,0,-2.409966117,1322.5,0,-0.002389087,-1.205504155,0,,0.655523993,-0.144370706,-0.32
22,2016/10/3,611.85,-0.001843453,0,-2.608609204,1313.3,-0.006956522,-0.004422152,-2.107174404,1,0.40413083,0.659990569,-0.154304446,-0.56
23,2016/10/4,609.62,-0.003644684,0,-3.010967295,1283.3,-0.022843219,-0.004835323,-4.237047845,1,0,0.664328509,-0.180106083,-1.14
24,2016/10/5,607.18,-0.004002493,0,-3.468666964,1269.4,-0.01083145,-0.004099949,-4.423941953,1,0.014601253,0.668800419,-0.207418431,-1.18
25,2016/10/6,612.08,0.008070095,0,-2.644757804,1254.5,-0.011737829,-0.003831158,-4.482952248,1,0.060127648,0.672424395,-0.142061174,-1.2
26,2016/10/7,617.21,0.008381257,0,-1.740757858,1258.75,0.003387804,0.000967459,-3.91534242,1,0.51170219,0.675962289,-0.089305845,-1.05
27,2016/10/8,614.74,-0.004001879,0,-2.147702385,1258.75,0,0.003019568,-3.689391115,0,0.505046374,0.680371013,-0.130665622,-0.99
28,2016/10/9,615.65,0.001480301,0,-1.988141393,1258.75,0,-0.000373552,-3.533578544,0,0.498470709,0.684817273,-0.113591333,-0.94
29,2016/10/10,617.54,0.003069926,0,-1.663905806,1259.5,0.000595829,-0.002619121,-3.396786189,1,0.584659163,0.689041545,-0.092142499,-0.91
30,2016/10/11,614.77,-0.004485539,0,-2.112704639,1253.45,-0.004803493,-0.006313737,-3.499160352,1,0.214701929,0.689292795,-0.108654938,-0.94
31,2016/10/12,635.01,0.032922882,0,0.759511918,1256.5,0.002433284,-0.008602138,-3.317831681,1,0.422143388,0.688060457,0.118417135,-0.89
32,2016/10/13,635.96,0.001496039,0,0.640112675,1261.05,0.00362117,-0.011916719,-3.123492058,1,0.473511374,0.687343074,0.076288913,-0.84
33,2016/10/14,634.02,-0.003050506,0,0.306478214,1251.75,-0.007374807,-0.004628108,-3.365769425,1,0.417930904,0.688720433,0.058230836,-0.9
34,2016/10/15,637.94,0.00618277,0,0.575481201,1251.75,0,-0.002066212,-3.311310016,0,0.41223913,0.688735106,0.095557725,-0.89
35,2016/10/16,641.42,0.005455058,0,0.751898362,1251.75,0,0.00057664,-3.267461561,0,0.406592784,0.688657109,0.11584855,-0.88
36,2016/10/17,638.97,-0.00381965,0,0.45386052,1254.8,0.002436589,0.001037814,-3.145961678,1,0.180582264,0.688656088,0.084418717,-0.84
37,2016/10/18,636.29,-0.00419425,0,0.189451647,1258.2,0.002709595,0.00247427,-3.027812141,1,0.386603668,0.690056627,0.066610021,-0.81
38,2016/10/19,629.25,-0.011064137,0,-0.386256183,1269.05,0.00862343,7.76E-05,-2.702051346,1,0.46551993,0.689745278,0.018797325,-0.72
39,2016/10/20,627.72,-0.002431466,0,-0.510501479,1271.65,0.002048777,-0.000174432,-2.630866945,1,0.586799936,0.689706431,0.016852692,-0.7
40,2016/10/21,631.92,0.006690881,0,-0.180303992,1266.05,-0.004403727,-0.000304804,-2.806722578,1,0.16091186,0.689257912,0.040757911,-0.75
41,2016/10/22,655.48,0.0372832,0,1.448645606,1266.05,0,0.000248654,-2.810830495,0,0.161228426,0.68780384,0.182294775,-0.75
42,2016/10/23,653.25,-0.003402087,0,1.142076605,1266.05,0,-1.21E-05,-2.815575859,0,0.161611183,0.68818978,0.110405315,-0.75
43,2016/10/24,651.39,-0.002847302,0,0.924306178,1265.55,-0.000394929,0.003786864,-2.83586759,1,0.162933141,0.688393614,0.105899355,-0.76
44,2016/10/25,655.31,0.0060179,0,1.071415992,1269.4,0.003042156,0.001555399,-2.724802247,1,0.314815478,0.688748756,0.136789182,-0.73
45,2016/10/26,651.45,-0.005890342,0,0.777203902,1270.5,0.000866551,-0.000132411,-2.699998993,1,0.409041296,0.689304874,0.108631716,-0.72
46,2016/10/27,682.22,0.047233095,0,2.203911941,1266.25,-0.00334514,0.000449584,-2.840085233,1,0.260690549,0.687547178,0.273323154,-0.76
47,2016/10/28,687.68,0.008003283,0,2.142815009,1273,0.005330701,-0.000255089,-2.638354889,1,0.282648473,0.686962172,0.224994923,-0.7
48,2016/10/29,685.91,-0.002573872,0,1.835041241,1273,0,-0.000167532,-2.649497987,0,0.284467504,0.688272314,0.20307189,-0.71
49,2016/10/30,698,0.017626219,0,2.084978159,1273,0,0.000385742,-2.660644243,0,0.286434838,0.688040961,0.259615483,-0.71
50,2016/10/31,702,0.005730659,0,2.005459879,1272,-0.000785546,0.00293118,-2.703556991,1,0.289817075,0.68778846,0.256849241,-0.72
51,2016/11/1,697.01,-0.007108262,0,1.672782674,1288.45,0.01293239,0.001618962,-2.182165567,1,0.271936016,0.689518946,0.218824155,-0.58
52,2016/11/2,733.33,0.052108291,0,2.556221273,1303.75,0.011874733,0.002234961,-1.687122366,1,0.25766471,0.687779682,0.366395565,-0.45
53,2016/11/3,686.17,-0.064309383,0,1.014509606,1301,-0.0021093,0.002454359,-1.784210663,1,0.352982208,0.689407883,0.104870747,-0.47
54,2016/11/4,683.69,-0.003614265,0,0.908220792,1302.8,0.001383551,0.002617899,-1.730029536,1,0.107646939,0.696551658,0.17053999,-0.46
55,2016/11/5,704.79,0.03086194,0,1.471463798,1302.8,0,0.001715777,-1.735623679,0,0.110675319,0.690183753,0.244868043,-0.46
56,2016/11/6,712,0.010229998,0,1.587617675,1302.8,0,0.003327928,-1.741180918,0,0.1139475,0.6836389,0.221636603,-0.46
57,2016/11/7,709.96,-0.002865169,0,1.454285989,1283.05,-0.015159656,0.00322147,-2.42399289,1,0.144921038,0.68853451,0.17479269,-0.65
58,2016/11/8,708.97,-0.001394445,0,1.366018668,1282.35,-0.000545575,-0.002204821,-2.45923973,1,0.056092034,0.689121821,0.175428468,-0.66
59,2016/11/9,720.93,0.016869543,0,1.60294178,1281.4,-0.000740827,-0.003054915,-2.503212423,1,0.06038106,0.690033746,0.224071845,-0.67
60,2016/11/10,721.5,0.000790645,0,1.5425507,1267.5,-0.010847511,-0.003375707,-2.992463198,1,0.118739415,0.688533785,0.196736173,-0.8
61,2016/11/11,715.45,-0.008385308,0,1.338958983,1236.45,-0.024497041,-0.000280287,-4.015323639,1,0.326373639,0.689208712,0.166796795,-1.08
62,2016/11/12,703.71,-0.016409253,0,1.023737536,1236.45,0,-0.003154628,-3.96236061,0,0.322828338,0.690858335,0.1279645,-1.06
63,2016/11/13,702.28,-0.002032087,0,0.970441145,1236.45,0,-0.002896935,-3.915802251,0,0.319257542,0.691587888,0.136281653,-1.05
64,2016/11/14,706.46,0.005952042,0,1.051034051,1213.6,-0.018480327,-0.000122147,-4.538608711,1,0.194034624,0.690641878,0.139371619,-1.22
65,2016/11/15,710.91,0.006299012,0,1.133171961,1226.95,0.01100033,-0.001163036,-4.053384676,1,0.402365431,0.689249679,0.133467289,-1.08
66,2016/11/16,711.73,0.001153451,0,1.128891848,1229.2,0.001833816,-0.008962256,-3.937101751,1,0.568679025,0.688906988,0.11840211,-1.06
67,2016/11/17,736.96,0.035448836,0,1.656480629,1226.75,-0.001993166,-0.004452427,-3.965164968,1,0.56493767,0.687733224,0.205206543,-1.06
68,2016/11/18,747.52,0.014329136,0,1.814222002,1211,-0.012838802,-0.004946745,-4.349857358,1,0.304699654,0.686454828,0.19597886,-1.17
69,2016/11/19,748.98,0.001953125,0,1.769709557,1211,0,-0.009843776,-4.269642354,0,0.284403628,0.686905337,0.18646233,-1.14
70,2016/11/20,729.06,-0.026596171,0,1.305671295,1211,0,-0.009508756,-4.199550947,0,0.265187611,0.689586369,0.119859888,-1.13
71,2016/11/21,738.53,0.012989329,0,1.467140277,1214.25,0.002683732,-0.001110546,-4.055218427,1,0.347002228,0.690277441,0.19089632,-1.09
72,2016/11/22,736.97,-0.002112304,0,1.399325492,1212.25,-0.001647107,-0.002478564,-4.058627105,1,0.518387407,0.690378177,0.15860702,-1.09
73,2016/11/23,741.63,0.006323188,0,1.458247182,1185.35,-0.022190142,-0.003624471,-4.658315374,1,0.316616554,0.68928763,0.163848185,-1.25
74,2016/11/24,737.45,-0.005636234,0,1.344198844,1186.1,0.000632725,-0.001519206,-4.528276696,1,0.372621427,0.68964534,0.128053511,-1.21
75,2016/11/25,735.64,-0.002454404,0,1.284078198,1187.7,0.001348959,-0.002296444,-4.397241153,1,0.313587971,0.689841903,0.125263287,-1.18
76,2016/11/26,733.67,-0.00267794,0,1.225441142,1187.7,0,-0.001446862,-4.318303105,0,0.300162839,0.690148436,0.115731725,-1.16
77,2016/11/27,727.96,-0.007782791,0,1.099800956,1187.7,0,-0.001389186,-4.248748138,0,0.287952555,0.690397458,0.093621229,-1.14
78,2016/11/28,727.31,-0.000892906,0,1.076410148,1187,-0.000589374,-0.001907072,-4.202046035,1,0.380183104,0.690501036,0.092355543,-1.13
79,2016/11/29,732.71,0.007424619,0,1.168592571,1186.55,-0.000379107,-0.003329773,-4.155128638,1,0.34390564,0.689857379,0.104426292,-1.11
80,2016/11/30,742.69,0.013620668,0,1.341377331,1178.1,-0.007121487,-0.005125982,-4.278582094,1,0.354733554,0.688839544,0.123145468,-1.15
81,2016/12/1,742.05,-0.000861732,0,1.309513122,1161.85,-0.013793396,-0.003642002,-4.540102799,1,0.384470718,0.688741533,0.101260112,-1.22
82,2016/12/2,772.43,0.040940637,0,1.835067104,1173.5,0.010027112,-0.007625225,-4.224251828,1,0.279983562,0.687448963,0.208441554,-1.13
83,2016/12/3,764.33,-0.010486387,0,1.643409905,1173.5,0,1.38E-05,-4.168375958,0,0.272484688,0.686821167,0.134963642,-1.12
84,2016/12/4,762.97,-0.001779336,0,1.58429252,1173.5,0,0.000819219,-4.11813486,0,0.265555376,0.688718296,0.151307638,-1.1
85,2016/12/5,754.63,-0.010930967,0,1.409759736,1162.2,-0.009629314,0.001681737,-4.285390039,1,0.343565091,0.689373182,0.130070138,-1.15
86,2016/12/6,756.62,0.002637054,0,1.423796096,1172.5,0.008862502,-0.001615485,-4.035349171,1,0.400641797,0.690158619,0.152820835,-1.08
87,2016/12/7,758.99,0.003132352,0,1.443972929,1177.65,0.004392324,-0.002659717,-3.90172876,1,0.393881154,0.689611618,0.144796026,-1.04
88,2016/12/8,769.72,0.014137209,0,1.603619343,1171.05,-0.005604382,-0.002470999,-3.995189573,1,0.402703465,0.689025348,0.167355929,-1.07
89,2016/12/9,770.02,0.000389752,0,1.579992075,1163.6,-0.006361812,-0.00284253,-4.096381512,1,0.412422585,0.688606291,0.146207935,-1.1
90,2016/12/10,769.08,-0.001220748,0,1.538102645,1163.6,0,-0.002489471,-4.056224501,0,0.407790033,0.688837728,0.144425556,-1.09
91,2016/12/11,777,0.010298018,0,1.643175492,1163.6,0,-0.000539988,-4.019570044,0,0.403759948,0.688850543,0.170851493,-1.08
92,2016/12/12,777,0,0,1.61453235,1156.1,-0.006445514,0.001667243,-4.116736699,1,0.442201165,0.688820679,0.156933329,-1.1
93,2016/12/13,777.99,0.001274131,0,1.60395915,1158.55,0.002119194,-0.001011036,-4.0349111,1,0.434388653,0.688860705,0.1560459,-1.08
94,2016/12/14,774.89,-0.003984627,0,1.530014006,1162.25,0.003193647,-0.004560708,-3.938097851,1,0.333757843,0.689344467,0.141411228,-1.05
95,2016/12/15,776.75,0.002400341,0,1.538600195,1126.95,-0.030372123,-0.002089107,-4.499341466,1,0.384014273,0.689568283,0.149408982,-1.21
96,2016/12/16,775.88,-0.001120051,0,1.504624089,1131.6,0.004126181,-0.002323955,-4.35509152,1,0.370364395,0.689606839,0.136784607,-1.17
97,2016/12/17,788.7,0.016523174,0,1.683740343,1131.6,0,-0.004252211,-4.299060624,0,0.364820538,0.688988068,0.17335065,-1.15
98,2016/12/18,788.4,-0.000380373,0,1.652402374,1131.6,0,-0.002382337,-4.248150467,0,0.360024808,0.688639763,0.149208877,-1.14
99,2016/12/19,788.67,0.000342466,0,1.631987305,1136.25,0.004109226,0.001737234,-4.129181181,1,0.535408293,0.688786778,0.152072787,-1.1
100,2016/12/20,793.09,0.005604372,0,1.675116727,1125.7,-0.009284928,-0.001858486,-4.254324027,1,0.144833877,0.68896151,0.164779333,-1.14
101,2016/12/21,824.21,0.039238926,-0.023057578,2.103808294,1133.65,0.007062272,-0.002434309,-4.087598856,1,0.224520684,0.687507763,0.211338109,-1.09
102,2016/12/22,834.97,0.013054925,-0.016879718,2.203437359,1131.35,-0.002028845,-0.003984937,-4.088623603,1,0.161611857,0.685975067,0.192905835,-1.09
103,2016/12/23,901.31,0.079451956,-0.011920442,3.023222833,1131.35,0,-0.004093122,-4.055271003,0,0.159667229,0.684233047,0.390811624,-1.09
104,2016/12/24,891.61,-0.010762113,-0.011237468,2.75256863,1131.35,0,-0.0075276,-4.024444869,0,0.158604664,0.685623216,0.279665117,-1.08
105,2016/12/25,892.6,0.001110351,-0.005484435,2.650545015,1131.35,0,-0.000429062,-3.995897108,0,0.157852294,0.689264397,0.320705297,-1.07
106,2016/12/26,897.33,0.005299126,0.012044612,2.605333079,1131.35,0,0.000372245,-3.969411659,0,0.157386114,0.687835536,0.38222062,-1.06
107,2016/12/27,930.37,0.036820345,0.022338588,2.88810636,1131.35,0,0.000420443,-3.944799403,0,0.157609017,0.687917859,0.486958209,-1.05
108,2016/12/28,930.34,-3.22E-05,0.037267241,2.758807928,1134.6,0.002872674,0.001029497,-3.874833398,1,0.495043957,0.687543468,0.46339655,-1.03
109,2016/12/29,963.38,0.035513898,0.036846134,2.99549213,1145.9,0.009959457,-0.000142641,-3.692044581,1,0.302763462,0.688592209,0.539041123,-0.98
110,2016/12/30,952.15,-0.011656875,0.032954533,2.739089595,1145.9,0,0.001524311,-3.681015684,0,0.305976152,0.687338313,0.44528424,-0.98
111,2016/12/31,958.12,0.00627002,0.03247604,2.689166427,1145.9,0,0.001200857,-3.670715836,0,0.309007721,0.691008558,0.475661475,-0.98
112,2017/1/1,997.72,0.04133094,0.04115478,2.965440553,1145.9,0,0.002514999,-3.66109594,0,0.312074954,0.686660622,0.570968573,-0.98
113,2017/1/2,1015.97,0.018291705,0.039670025,2.995547711,1145.9,0,0.003329248,-3.652111203,0,0.315176789,0.687452254,0.554872506,-0.97
114,2017/1/3,1013.42,-0.002509917,0.042012146,2.833374586,1151,0.00445065,0.00583305,-3.570410357,1,0.347062235,0.688035335,0.516135937,-0.95
115,2017/1/4,1126.76,0.111839119,0.041248209,3.646895624,1164.25,0.011511729,0.002482085,-3.373571276,1,0.652134891,0.684791325,0.764735449,-0.9
116,2017/1/5,994.67,-0.117229934,0.023289833,2.354140292,1176.7,0.01069358,0.002406792,-3.192059737,1,0.650182566,0.692547773,0.321618671,-0.85
117,2017/1/6,999.65,0.005006686,0.033372332,2.325051983,1175.85,-0.000722359,0.003512808,-3.207330352,1,0.65511817,0.708420547,0.495764014,-0.86
118,2017/1/7,896.83,-0.102856,0.041548587,1.406947898,1175.85,0,0.003904045,-3.210079545,0,0.659628663,0.702455645,0.255503833,-0.86
119,2017/1/8,908.14,0.012611086,0.059223659,1.489369354,1175.85,0,0.005057645,-3.212901704,0,0.664132721,0.705373511,0.413929219,-0.85
120,2017/1/9,910.49,0.002587707,0.088262678,1.493510121,1178.5,0.002253689,0.006246992,-3.176890758,1,0.327877376,0.693217946,0.369259962,-0.84
121,2017/1/10,906.05,-0.004876495,0.096819994,1.441309193,1189.5,0.009333899,0.004402375,-3.018093493,1,0.358672298,0.690155209,0.334381906,-0.8
122,2017/1/11,785.22,-0.133359086,0.079579272,0.408443521,1178.55,-0.009205549,0.003240092,-3.185158165,1,0.522587324,0.690198026,-0.026996187,-0.85
123,2017/1/12,780.92,-0.005476172,0.096119322,0.375836932,1205.05,0.022485257,0.00045782,-2.794881441,1,0.362068065,0.703510929,0.148718335,-0.74
124,2017/1/13,826.29,0.058098141,0.094753102,0.76983902,1190.35,-0.012198664,0.002890767,-3.020790432,1,0.341498867,0.682151777,0.207973758,-0.81
125,2017/1/14,817.91,-0.010141718,0.089813588,0.700188617,1190.35,0,0.003677803,-3.026001731,0,0.345998898,0.694556183,0.070956024,-0.81
126,2017/1/15,819.55,0.002005111,0.082778487,0.717128444,1190.35,0,0.008100947,-3.031215401,0,0.350493749,0.688252117,0.034893019,-0.8
127,2017/1/16,830.5,0.013360991,0.079965014,0.813961879,1203,0.010627126,0.002479307,-2.84590448,1,0.505169214,0.690800734,0.070605915,-0.76
128,2017/1/17,903.84,0.088308248,0.031497575,1.439430026,1216.05,0.01084788,0.005845627,-2.653975242,1,0.474540664,0.685882692,0.151995506,-0.7
129,2017/1/18,906.6,0.003053638,-0.027048548,1.451647042,1214.75,-0.001069035,6.61E-05,-2.679952572,1,0.480038524,0.684784171,-0.064850579,-0.71
130,2017/1/19,895.798875,-0.011913882,-0.096516767,1.350497975,1196.05,-0.015394114,0.001018533,-2.971580923,1,0.491455531,0.689275192,-0.209050645,-0.79
131,2017/1/20,893.6210875,-0.002431112,-0.115204506,1.324574009,1200.55,0.003762385,0.000415806,-2.908468146,1,0.462725214,0.688743382,-0.214413996,-0.77
132,2017/1/21,895.64,0.002259249,-0.145012418,1.334534615,1200.55,0,0.000734112,-2.914357705,0,0.4667038,0.690282656,-0.247013058,-0.77
133,2017/1/22,918.603625,0.025639347,-0.140934107,1.517508139,1200.55,0,0.004671373,-2.920232799,0,0.470690916,0.688546783,-0.178778312,-0.78
134,2017/1/23,922.0736125,0.003777459,-0.126606692,1.533954049,1212.85,0.010245304,0.00129517,-2.735922175,1,0.469874038,0.688018521,-0.185264067,-0.73
135,2017/1/24,919.97,-0.002281393,-0.113782323,1.504515394,1216.8,0.003256792,-0.002324808,-2.680569091,1,0.380609784,0.689089255,-0.148627131,-0.71
136,2017/1/25,893.045625,-0.029266579,-0.101303639,1.273510535,1195,-0.017915845,-0.00099987,-3.025901454,1,0.330572295,0.690225141,-0.180150873,-0.81
137,2017/1/26,915.95625,0.025654484,-0.085054514,1.455804606,1189.7,-0.004435146,-0.001310815,-3.113746117,1,0.367091451,0.690739011,-0.063242871,-0.83
138,2017/1/27,915.05,-0.000989403,-0.07209269,1.439334875,1184.85,-0.004076658,-0.001948673,-3.194166388,1,0.433524847,0.688318417,-0.062596198,-0.85
139,2017/1/28,920.31225,0.005750779,-0.059708821,1.473403685,1184.85,0,-0.000308169,-3.19860496,0,0.436756493,0.690201818,-0.029341286,-0.85
140,2017/1/29,915.933,-0.004758439,-0.049808071,1.428967018,1184.85,0,0.004105245,-3.203055672,0,0.44002549,0.688698987,-0.025973418,-0.85
141,2017/1/30,912.19,-0.004086543,-0.03969775,1.391131947,1192.8,0.00670971,0.001507287,-3.083024787,1,0.440746498,0.690772932,0.002367417,-0.82
142,2017/1/31,964.706075,0.057571422,-0.033817765,1.802566435,1212.8,0.01676727,-0.000500756,-2.772869236,1,0.43780964,0.687493071,0.153066593,-0.74
143,2017/2/1,979.703875,0.015546497,-0.029394394,1.900227811,1203.65,-0.007544525,0.000292479,-2.923813929,1,0.505727444,0.685662201,0.125172791,-0.78
144,2017/2/2,983.42,0.00379311,-0.025998022,1.905542204,1221.95,0.015203755,-0.001855873,-2.638373344,1,0.565968035,0.687522132,0.134104247,-0.7
145,2017/2/3,1013.027,0.03010616,-0.017147982,2.10833285,1215.2,-0.005523958,-0.003989645,-2.751943938,1,0.541081122,0.686366691,0.245640638,-0.73
146,2017/2/4,1030.999413,0.017741297,-0.011036816,2.210341735,1215.2,0,0.002001892,-2.757760011,0,0.545095326,0.686156795,0.294936683,-0.74
147,2017/2/5,1034.07,0.002978263,-0.000478618,2.194990304,1215.2,0,0.009519975,-2.763556971,0,0.549120112,0.686881872,0.315976689,-0.73
148,2017/2/6,1024.01375,-0.009724922,0.007018346,2.08436779,1226.75,0.009504608,0.002001389,-2.582686347,1,0.45772087,0.687971777,0.319126969,-0.69
149,2017/2/7,1050.11,0.025484277,0.013444293,2.242773208,1231,0.003464439,0.005113047,-2.518978882,1,0.553090551,0.687898131,0.392726109,-0.67
150,2017/2/8,1052.84,0.002599728,0.017982656,2.223332588,1242.1,0.009017059,0.001106659,-2.3429854,1,0.396803108,0.686671026,0.383879245,-0.62
151,2017/2/9,976.103,-0.072885719,0.016396204,1.636916488,1236.8,-0.004266967,0.001525154,-2.433836885,1,0.522244788,0.691138089,0.219067809,-0.65
152,2017/2/10,999.1035,0.023563599,0.025236563,1.790030586,1228.3,-0.006872574,0.001403759,-2.577804866,1,0.525033152,0.691929724,0.35751788,-0.69
153,2017/2/11,997.59,-0.001514858,0.027421665,1.762160029,1228.3,0,0.002894099,-2.58294496,0,0.52579108,0.68813226,0.296987766,-0.69
154,2017/2/12,1000.604625,0.003021908,0.02971107,1.767669831,1228.3,0,0.00143715,-2.588068416,0,0.526556094,0.690660999,0.275507926,-0.69
155,2017/2/13,999.877375,-0.000726811,0.03116526,1.746722435,1222.25,-0.004925507,0.003916302,-2.693253571,1,0.528853457,0.688042655,0.23937358,-0.72
156,2017/2/14,1001.2,0.001322787,0.033766468,1.741124411,1230.75,0.006954387,0.000124019,-2.557568645,1,0.527572801,0.689894353,0.23932428,-0.68
157,2017/2/15,1012.325988,0.011112653,0.023210305,1.80422066,1224.4,-0.005159456,0.000886044,-2.668239595,1,0.529497529,0.688306937,0.23034463,-0.71
158,2017/2/16,1035.208125,0.022603526,0.018008504,1.945763338,1240.55,0.013190134,4.40E-05,-2.403517618,1,0.339660229,0.687849051,0.260387535,-0.64
159,2017/2/17,1035.2,-7.85E-06,0.010733156,1.924176301,1241.95,0.001128532,0.000473092,-2.384168001,1,0.402042686,0.687175238,0.210922049,-0.63
160,2017/2/18,1056.637138,0.020708209,0.006627526,2.04894343,1241.95,0,-0.001052324,-2.388185002,0,0.402506126,0.687943823,0.2574594,-0.64
161,2017/2/19,1052.779286,-0.003651066,0.001024672,1.997691348,1241.95,0,0.000341931,-2.392190672,0,0.399194947,0.686869117,0.20810377,-0.64
162,2017/2/20,1050.87,-0.001813567,-0.001229864,1.962002255,1237.3,-0.003744112,0.000754808,-2.474894819,1,0.458857564,0.688977248,0.212209037,-0.66
163,2017/2/21,1123.788429,0.069388629,0.001471716,2.418829835,1233.2,-0.003313667,0.003611021,-2.548829875,1,0.459803089,0.68570873,0.356997848,-0.68
164,2017/2/22,1123.223188,-0.000502978,0.001773911,2.371818233,1236.65,0.0027976,0.001399209,-2.494769179,1,0.520677795,0.684008093,0.272590571,-0.66
165,2017/2/23,1130.01,0.006042265,0.003754181,2.374374001,1247.9,0.009097158,0.001209734,-2.306992268,1,0.390483437,0.678775636,0.293453711,-0.61
166,2017/2/24,1174.86625,0.039695445,0.013174481,2.613143087,1253.65,0.004607741,0.002161883,-2.211878487,1,0.385493268,0.667631423,0.398096015,-0.59
167,2017/2/25,1150.605714,-0.020649615,0.015697927,2.409811834,1253.65,0,0.002924404,-2.21474167,0,0.382226823,0.661643506,0.339528154,-0.59
168,2017/2/26,1150.37,-0.000204861,0.030576585,2.366313801,1253.65,0,0.002486079,-2.217599991,0,0.379002153,0.655543241,0.380484665,-0.59
169,2017/2/27,1190.75195,0.035103445,0.036072701,2.568522662,1257.2,0.002831731,0.000858635,-2.159186273,1,0.374864533,0.6448059,0.467498489,-0.57
170,2017/2/28,1187.565286,-0.002676178,0.035472173,2.498628165,1255.6,-0.001272669,0.000546893,-2.189365755,1,0.372990028,0.637530846,0.412268492,-0.58
171,2017/3/1,1190.89,0.002799605,0.041311243,2.471278475,1240.4,-0.012105766,-0.000120517,-2.455398308,1,0.501053881,0.631097316,0.407106174,-0.66
172,2017/3/2,1259.410817,0.057537486,0.042160683,2.815967608,1238.1,-0.001854241,-0.002653554,-2.499349613,1,0.595037089,0.620194393,0.521583434,-0.67
173,2017/3/3,1285.14,0.020429539,0.034744085,2.890465278,1226.5,-0.009369195,-0.002334679,-2.705324093,1,0.598642196,0.611975781,0.477168423,-0.72
174,2017/3/4,1287,0.001447313,0.028457146,2.827437974,1226.5,0,-0.001172918,-2.710215653,0,0.598289657,0.608113045,0.458666741,-0.72
175,2017/3/5,1270.9333,-0.012483838,0.02746359,2.673413711,1226.5,0,-0.001340395,-2.715093261,0,0.597938496,0.603020795,0.440087523,-0.73
176,2017/3/6,1275.197375,0.003355074,0.026768254,2.638670494,1230.95,0.00362821,-0.003728055,-2.641922169,1,0.596179626,0.597949594,0.472080407,-0.7
