index,date,value,ma5,ma10,ma20,ma30,ma60,Profit,Profit rate,Standard Dev,Coefficient of Variation,Bias(5:30),Danger
72,2016/11/22,736.97,740.21,723.61,716.65,703.24,661.22,-1.56,-0.21%,48.06350801,0.073534098,-0.052570957,
73,2016/11/23,741.63,740.21,726.94,716.83,706.03,663.6,4.66,0.63%,48.80713415,0.074536176,-0.048411541,
74,2016/11/24,737.45,739.03,730.88,719.6,709.04,665.9,-4.18,-0.56%,49.39853985,0.075312617,-0.042296626,
75,2016/11/25,735.64,736.73,733.97,722.29,711.77,668.16,-1.81,-0.25%,49.90634739,0.075965321,-0.035067508,
76,2016/11/26,733.67,738.04,736.45,723.83,714.58,670.44,-1.97,-0.27%,50.33608747,0.076503445,-0.032830474,
77,2016/11/27,727.96,737.07,738.64,724.92,716.3,672.56,-5.71,-0.78%,50.62860825,0.076843219,-0.028996231,
78,2016/11/28,727.31,735.27,737.74,725.82,717.64,674.6,-0.65,-0.09%,50.88590042,0.077132291,-0.024566635,
79,2016/11/29,732.71,732.41,735.72,726.73,719.02,676.66,5.4,0.74%,51.21293943,0.077520808,-0.01862257,
80,2016/11/30,742.69,731.46,734.09,727.32,720.18,678.72,9.98,1.36%,51.69606726,0.078132307,-0.015662751,
81,2016/12/1,742.05,732.87,735.46,728.38,721.53,680.85,-0.64,-0.09%,52.13220001,0.078674878,-0.015716602,
82,2016/12/2,772.43,734.54,735.81,729.71,723.03,683,30.38,4.09%,53.18392633,0.080102161,-0.015919118,
83,2016/12/3,764.33,743.44,739.35,733.15,724.34,685.67,-8.1,-1.05%,53.97573782,0.081148684,-0.026368832,
84,2016/12/4,762.97,750.84,741.62,736.25,726.94,688.25,-1.36,-0.18%,54.68421198,0.08207182,-0.032877541,
85,2016/12/5,754.63,756.89,744.18,739.08,729.59,690.85,-8.34,-1.09%,55.18392478,0.082694327,-0.037418276,
86,2016/12/6,756.62,759.28,746.08,741.26,731.25,693.22,1.99,0.26%,55.68537725,0.083317617,-0.038331624,
87,2016/12/7,758.99,762.2,748.37,743.51,732.73,695.55,2.37,0.31%,56.19538513,0.083951324,-0.040219453,
88,2016/12/8,769.72,759.51,751.47,744.61,734.37,697.95,10.73,1.41%,56.87083268,0.084817533,-0.034233425,
89,2016/12/9,770.02,760.59,755.71,745.72,736.39,700.52,0.3,0.04%,57.50792858,0.085626501,-0.032863021,
90,2016/12/10,769.08,762,759.45,746.77,738.03,703.06,-0.94,-0.12%,58.08669728,0.086350552,-0.032478355,
91,2016/12/11,777,764.89,762.08,748.77,739.62,705.63,7.92,1.03%,58.77400138,0.08722526,-0.034166193,
92,2016/12/12,777,768.96,765.58,750.69,741.67,708,0,0.00%,59.4178917,0.088035888,-0.03679534,
93,2016/12/13,777.99,772.56,766.04,752.7,744.11,710.35,0.99,0.13%,60.03934433,0.088812384,-0.038233594,
94,2016/12/14,774.89,774.22,767.4,754.51,746.63,712.75,-3.1,-0.40%,60.56883466,0.089457911,-0.036952707,
95,2016/12/15,776.75,775.19,768.59,756.38,748.91,715.03,1.86,0.24%,61.09666276,0.090099312,-0.035090999,
96,2016/12/16,775.88,776.73,770.81,758.44,751.11,717.29,-0.87,-0.11%,61.57810294,0.090674504,-0.034109518,
97,2016/12/17,788.7,776.5,772.73,760.55,753.25,719.57,12.82,1.65%,62.24521699,0.091506161,-0.030866246,
98,2016/12/18,788.4,778.84,775.7,763.59,754.97,722.11,-0.3,-0.04%,62.86753534,0.092272811,-0.03161715,
99,2016/12/19,788.67,780.92,777.57,766.64,756.34,724.76,0.27,0.03%,63.45775288,0.092992576,-0.032498612,
100,2016/12/20,793.09,783.68,779.44,769.44,757.66,727.45,4.42,0.56%,64.08692311,0.093763986,-0.034342581,
101,2016/12/21,824.21,786.95,781.84,771.96,759.79,730.13,31.12,3.92%,65.26176258,0.095290526,-0.035746719,
102,2016/12/22,834.97,796.61,786.56,776.07,762.65,732.94,10.76,1.31%,66.59096966,0.097024889,-0.044528945,
103,2016/12/23,901.31,805.87,792.36,779.2,765.91,735.97,66.34,7.95%,69.51143688,0.100975965,-0.052173232,
104,2016/12/24,891.61,828.45,804.69,786.04,771.24,740.14,-9.7,-1.08%,71.9400567,0.104210925,-0.074179244,
105,2016/12/25,892.6,849.04,816.36,792.48,776.38,744.08,0.99,0.11%,74.22179397,0.107219829,-0.093588191,
106,2016/12/26,897.33,868.94,827.94,799.38,781.61,748.09,4.73,0.53%,76.46450244,0.110154611,-0.111730914,
107,2016/12/27,930.37,883.56,840.09,806.41,787.06,751.68,33.04,3.68%,79.40112008,0.114025821,-0.122608187,
108,2016/12/28,930.34,902.64,854.26,814.98,793.81,755.72,-0.03,0.00%,82.12444103,0.117574239,-0.137098298,
109,2016/12/29,963.38,908.45,868.45,823.01,800.58,759.8,33.04,3.55%,85.52888828,0.122027551,-0.134739814,
110,2016/12/30,952.15,922.8,885.92,832.68,808.27,764.22,-11.23,-1.17%,88.39050031,0.12570437,-0.1416977,
111,2016/12/31,958.12,934.71,901.83,841.83,815.25,768.39,5.97,0.63%,91.20488508,0.129288285,-0.146531739,
112,2017/1/1,997.72,946.87,915.22,850.89,822.45,772.74,39.6,4.13%,94.83687752,0.133945721,-0.151279713,
113,2017/1/2,1015.97,960.34,931.49,861.92,829.96,777.15,18.25,1.83%,98.68984893,0.138857807,-0.157091908,
114,2017/1/3,1013.42,977.47,942.96,873.82,838.35,782.65,-2.55,-0.25%,102.1997697,0.143265734,-0.165945011,
115,2017/1/4,1126.76,987.48,955.14,885.75,846.7,788.14,113.34,11.18%,108.6983743,0.151618154,-0.166269045,
116,2017/1/5,994.67,1022.4,978.56,903.25,859.1,795.17,-132.09,-11.72%,111.2118062,0.154612058,-0.190082645,
117,2017/1/6,999.65,1029.71,988.29,914.19,867.04,799.89,4.98,0.50%,113.6824332,0.157526524,-0.187615335,
118,2017/1/7,896.83,1030.09,995.22,924.74,875.06,804.71,-102.82,-10.29%,114.3273605,0.158097725,-0.177164994,
119,2017/1/8,908.14,1006.27,991.87,930.16,879.3,807.84,11.31,1.26%,115.0853728,0.158807389,-0.144398954,
120,2017/1/9,910.49,985.21,986.34,936.13,883.9,810.96,2.35,0.26%,115.8367065,0.159506175,-0.114617038,
121,2017/1/10,906.05,941.96,982.18,942,888.61,814.11,-4.44,-0.49%,116.4948712,0.160087533,-0.060037587,
122,2017/1/11,785.22,924.23,976.97,946.09,892.92,817.29,-120.83,-13.34%,116.1352923,0.159490895,-0.035064731,
123,2017/1/12,780.92,881.35,955.72,943.61,893.19,818.65,-4.3,-0.55%,115.7622654,0.158885773,0.013255858,
124,2017/1/13,826.29,858.16,932.22,937.59,893.29,819.96,45.37,5.81%,115.6263353,0.15852914,0.039326534,
125,2017/1/14,817.91,841.79,913.5,934.32,895,821.96,-8.38,-1.01%,115.4342513,0.158113451,0.059452514,
126,2017/1/15,819.55,823.28,882.62,930.59,896.37,823.74,1.64,0.20%,115.2505514,0.157709636,0.081539989,
127,2017/1/16,830.5,805.98,865.11,926.7,897.83,825.54,10.95,1.34%,115.1347238,0.15738335,0.102302218,
128,2017/1/17,903.84,815.03,848.19,921.7,899.22,827.1,73.34,8.83%,115.6786614,0.157838733,0.093625587,
129,2017/1/18,906.6,839.62,848.89,920.38,903.07,829.7,2.76,0.31%,116.2279868,0.15829965,0.070260334,
130,2017/1/19,895.798875,855.68,848.74,917.54,907,832.33,-10.801125,-1.19%,116.6343804,0.158586752,0.056582139,
131,2017/1/20,893.6210875,871.26,847.27,914.72,910.42,835.11,-2.1777875,-0.24%,116.9982485,0.158822752,0.043013115,
132,2017/1/21,895.64,886.07,846.02,911.5,912.74,837.69,2.0189125,0.23%,117.3638627,0.159060965,0.029219712,
133,2017/1/22,918.603625,899.1,857.07,906.39,914.76,840.34,22.963625,2.56%,117.9553783,0.159570923,0.017119244,
134,2017/1/23,922.0736125,902.05,870.84,901.53,915.34,843.29,3.4699875,0.38%,118.5592188,0.160094429,0.014519195,
135,2017/1/24,919.97,905.15,880.41,896.96,916.35,846.36,-2.1036125,-0.23%,119.1128634,0.160556025,0.012222404,
136,2017/1/25,893.045625,909.98,890.62,886.62,917.26,849.44,-26.924375,-2.93%,119.3729348,0.160667617,0.007936681,
137,2017/1/26,915.95625,909.87,897.97,881.54,917.12,852.09,22.910625,2.57%,119.8410693,0.161026034,0.007905181,
138,2017/1/27,915.05,913.93,906.51,877.35,916.64,855.23,-0.90625,-0.10%,120.2786887,0.161347627,0.00295645,
139,2017/1/28,920.31225,913.22,907.64,878.26,916.13,858.35,5.26225,0.58%,120.7494967,0.161708271,0.003176405,
140,2017/1/29,915.933,912.87,909.01,878.87,914.7,861.48,-4.37925,-0.48%,121.1556179,0.16199179,0.002000656,
141,2017/1/30,912.19,912.06,911.02,879.14,913.49,864.37,-3.743,-0.41%,121.5073055,0.162211104,0.001565425,
142,2017/1/31,964.706075,915.89,912.88,879.45,911.96,867.2,52.516075,5.76%,122.4078297,0.163084989,-0.0043094,
143,2017/2/1,979.703875,925.64,919.78,888.43,910.86,870.41,14.9978,1.55%,123.4571552,0.164135062,-0.016226423,
144,2017/2/2,983.42,938.57,925.89,898.36,909.65,874,3.716125,0.38%,124.5103236,0.165184993,-0.031792448,
145,2017/2/3,1013.027,951.19,932.03,906.22,908.65,877.67,29.607,3.01%,125.9121912,0.166652204,-0.046816706,
146,2017/2/4,1030.999413,970.61,941.33,915.98,904.86,881.98,17.972413,1.77%,127.509607,0.168348941,-0.072663174,
147,2017/2/5,1034.07,994.37,955.13,926.55,906.07,886.55,3.070587,0.30%,129.0833338,0.170007127,-0.097453839,
148,2017/2/6,1024.01375,1008.24,966.94,936.73,907.22,891.14,-10.05625,-0.97%,130.4525846,0.171409378,-0.111351161,
149,2017/2/7,1050.11,1017.11,977.84,942.74,911.45,895.38,26.09625,2.55%,132.1276489,0.173171871,-0.115925174,
150,2017/2/8,1052.84,1030.44,990.82,949.91,916.19,900.04,2.73,0.26%,133.771489,0.174886365,-0.124701208,
151,2017/2/9,976.103,1038.41,1004.51,957.76,920.93,904.77,-76.737,-7.29%,134.4195016,0.175414902,-0.127566699,
152,2017/2/10,999.1035,1027.43,1010.9,961.89,923.27,908.09,23.0005,2.36%,135.2865097,0.176196459,-0.112816403,
153,2017/2/11,997.59,1020.43,1014.34,967.06,930.4,911.79,-1.5135,-0.15%,136.1036276,0.17691688,-0.096764832,
154,2017/2/12,1000.604625,1015.15,1016.13,971.01,937.62,915.45,3.014625,0.30%,136.9219048,0.177635971,-0.082688083,
155,2017/2/13,999.877375,1005.25,1017.85,974.94,943.43,919.21,-0.72725,-0.07%,137.7013455,0.17830749,-0.065526854,
156,2017/2/14,1001.2,994.66,1016.53,978.93,949.5,922.93,1.322625,0.13%,138.465076,0.178958533,-0.047561875,
157,2017/2/15,1012.325988,999.68,1013.55,984.34,955.55,926.69,11.125988,1.11%,139.3171349,0.179709026,-0.046182827,
158,2017/2/16,1035.208125,1002.32,1011.38,989.16,961.61,930.42,22.882137,2.26%,140.3908181,0.180712862,-0.04233525,
159,2017/2/17,1035.2,1009.84,1012.5,995.17,965.99,934.53,-0.008125,0.00%,141.4244414,0.181665805,-0.045393845,
160,2017/2/18,1056.637138,1016.76,1011.01,1000.91,970.28,938.64,21.437138,2.07%,142.6681563,0.182857607,-0.047903698,
161,2017/2/19,1052.779286,1028.11,1011.38,1007.95,975.64,943.03,-3.857852,-0.37%,143.8204391,0.183937833,-0.053780083,
162,2017/2/20,1050.87,1038.43,1019.05,1014.98,980.94,946.84,-1.909286,-0.18%,144.908735,0.184939397,-0.05860705,
163,2017/2/21,1123.788429,1046.14,1024.23,1019.28,986.12,950.44,72.918429,6.94%,146.8743556,0.186953009,-0.060864803,
164,2017/2/22,1123.223188,1063.85,1036.85,1026.49,992.96,954.15,-0.565241,-0.05%,148.7545156,0.18885437,-0.071392604,
165,2017/2/23,1130.01,1081.46,1049.11,1033.48,999.66,958.01,6.786812,0.60%,150.6531285,0.190765324,-0.081827821,
166,2017/2/24,1174.86625,1096.13,1062.12,1039.33,1006.66,961.96,44.85625,3.97%,153.1121898,0.193314598,-0.088878072,
167,2017/2/25,1150.605714,1120.55,1079.49,1046.52,1016.06,966.59,-24.260536,-2.06%,155.1275378,0.195332739,-0.102838415,
168,2017/2/26,1150.37,1140.5,1093.32,1052.35,1023.88,970.26,-0.235714,-0.02%,157.0620065,0.197245096,-0.113900066,
169,2017/2/27,1190.75195,1145.82,1104.84,1058.67,1031.72,973.93,40.38195,3.51%,159.4783063,0.199697649,-0.110592021,
170,2017/2/28,1187.565286,1159.32,1120.39,1065.7,1040.74,977.72,-3.186664,-0.27%,161.7534814,0.201971331,-0.113938159,
171,2017/3/1,1190.89,1170.83,1133.48,1072.43,1049.79,981.64,3.324714,0.28%,163.9856912,0.204180447,-0.11529925,
172,2017/3/2,1259.410817,1174.04,1147.29,1083.17,1059.08,985.52,68.520817,5.75%,167.1295154,0.207413742,-0.108547041,
173,2017/3/3,1285.14,1195.8,1168.15,1096.19,1068.91,989.88,25.729183,2.04%,170.5425836,0.21092832,-0.118709714,
174,2017/3/4,1287,1222.75,1184.28,1110.57,1079.09,994.37,1.86,0.14%,173.8369125,0.214278178,-0.133130693,
175,2017/3/5,1270.9333,1242,1200.66,1124.89,1089.21,998.93,-16.0667,-1.25%,176.7520217,0.217172306,-0.14027598,
176,2017/3/6,1275.197375,1258.67,1214.75,1138.44,1097.8,1001.33,4.264075,0.34%,179.6115851,0.21998135,-0.146538532,
177,2017/3/7,1279.5,1275.54,1224.79,1152.14,1105.94,1006.01,4.302625,0.34%,182.4190589,0.222710313,-0.153353708,
178,2017/3/8,1157.3933,1279.55,1237.68,1165.5,1114.12,1010.67,-122.1067,-9.54%,183.6481162,0.223694675,-0.148484903,
179,2017/3/9,1192.469143,1254,1238.38,1171.61,1118.57,1015.01,35.075843,3.03%,185.2071934,0.225028031,-0.121074229,
180,2017/3/10,1192.09,1235.1,1238.55,1179.47,1123.32,1019.75,-0.379143,-0.03%,186.7096874,0.226292968,-0.0995086,
181,2017/3/11,1179.159875,1219.33,1239,1186.24,1127.96,1024.44,-12.930125,-1.08%,188.0267091,0.227353117,-0.081004646,
182,2017/3/12,1227.494625,1200.12,1237.83,1192.56,1134.73,1029,48.33475,4.10%,189.8221118,0.228918302,-0.057626043,
183,2017/3/13,1227.68,1189.72,1234.64,1201.39,1142.34,1036.37,0.185375,0.02%,191.5589393,0.230411107,-0.041476268,
184,2017/3/14,1245.370786,1203.78,1228.89,1206.59,1150.01,1043.81,17.690786,1.44%,193.4370634,0.232045565,-0.046756115,
185,2017/3/15,1257.399625,1214.36,1224.73,1212.69,1158.17,1050.8,12.028839,0.97%,195.3895673,0.233748902,-0.048516194,
186,2017/3/16,1257,1227.42,1223.38,1219.06,1166.75,1058.12,-0.399625,-0.03%,197.2717454,0.235366517,-0.051999143,
187,2017/3/17,1091.171888,1242.99,1221.56,1223.17,1175.28,1065.41,-165.828112,-13.19%,197.6053384,0.235386551,-0.057611803,
188,2017/3/18,952.2323625,1215.72,1202.72,1220.2,1177.91,1069.76,-138.9395255,-12.73%,197.2515174,0.234798245,-0.032099227,
189,2017/3/19,967.69,1160.63,1182.21,1210.29,1175.14,1070.56,15.4576375,1.62%,196.9482789,0.234250021,0.012347465,
190,2017/3/20,1049.084488,1105.1,1159.73,1199.14,1172.89,1071.58,81.394488,8.41%,197.0065262,0.234015718,0.057797406,
191,2017/3/21,1118.630043,1063.44,1145.43,1192.22,1172.64,1074.14,69.545555,6.63%,197.5002294,0.23420113,0.093123209,
192,2017/3/22,1113,1035.76,1139.38,1188.6,1174.83,1077.89,-5.630043,-0.50%,197.9373198,0.234331127,0.118374573,
193,2017/3/23,1038.789,1040.13,1127.93,1181.28,1176.9,1081.51,-74.211,-6.67%,197.9151932,0.234027734,0.116212083,
194,2017/3/24,941.9197143,1057.44,1109.04,1168.96,1174.07,1083.51,-96.8692857,-9.33%,197.5266894,0.233432129,0.0993382,
195,2017/3/25,927.93,1052.28,1078.69,1151.71,1168.03,1083.84,-13.9897143,-1.49%,197.1082118,0.232822829,0.099098482,
196,2017/3/26,956.7863125,1028.05,1045.74,1134.56,1161.29,1083.98,28.8563125,3.11%,196.763171,0.232261824,0.114734476,
197,2017/3/27,1037.22925,995.69,1015.72,1118.64,1154.02,1085.04,80.4429375,8.41%,196.7275884,0.231956986,0.137198662,
198,2017/3/28,1041.04,980.53,1010.33,1106.53,1150.24,1087.06,3.81075,0.37%,196.7062453,0.231667014,0.147543121,
199,2017/3/29,1040.5755,980.98,1019.21,1100.71,1146.6,1089.16,-0.4645,-0.04%,196.6781539,0.231373036,0.144444444,
200,2017/3/30,1037.90455,1000.71,1026.5,1093.11,1141.59,1091.17,-2.67095,-0.26%,196.6330244,0.231065893,0.123406827,
201,2017/3/31,1034.74,1022.71,1025.38,1085.4,1136.6,1093.2,-3.16455,-0.30%,196.5692566,0.230744296,0.100202358,
202,2017/4/1,1086.929571,1038.3,1016.99,1078.18,1131.4,1095.24,52.189571,5.04%,196.7737808,0.23067087,0.082287432,
203,2017/4/2,1099.169125,1048.24,1014.38,1071.16,1125.65,1097.28,12.239554,1.13%,197.0421178,0.230659211,0.068769156,
204,2017/4/3,1079.99,1059.86,1020.42,1064.73,1119.45,1099.27,-19.179125,-1.74%,197.1891342,0.23053415,0.053231498,
205,2017/4/4,1141.600363,1067.75,1034.23,1056.46,1112.55,1100.88,61.610363,5.70%,197.713457,0.230772248,0.040267853,
206,2017/4/5,1133.079314,1088.49,1055.6,1050.67,1108.24,1103.02,-8.521049,-0.75%,198.1637502,0.230937997,0.01782105,
207,2017/4/6,1133.53,1108.15,1073.23,1044.47,1103.5,1104.72,0.450686,0.04%,198.6028518,0.231093078,-0.004213865,
208,2017/4/7,1190.45425,1117.47,1082.86,1046.59,1098.64,1106.38,56.92425,5.02%,199.4397854,0.231639996,-0.017139372,
209,2017/4/8,1181.149838,1135.73,1097.8,1058.5,1099.74,1109.15,-9.304412,-0.78%,200.181414,0.232090397,-0.032725917,
210,2017/4/9,1184.03,1155.96,1111.85,1069.18,1099.36,1111.34,2.880162,0.24%,200.9235521,0.232540013,-0.0514845,
211,2017/4/10,1207.744875,1164.45,1126.47,1075.92,1099.09,1113.52,23.714875,2.00%,201.8277862,0.23314906,-0.059467378,
212,2017/4/11,1226.617038,1179.38,1143.77,1080.38,1100.04,1117.39,18.872163,1.56%,202.8596372,0.233883187,-0.07212465,
213,2017/4/12,1219.09,1198,1157.74,1086.06,1100.02,1121.18,-7.527038,-0.61%,203.801748,0.234524955,-0.089071108,
214,2017/4/13,1180.023713,1203.73,1169.73,1095.08,1099.73,1124.87,-39.066287,-3.20%,204.4255662,0.234851853,-0.094568667,
215,2017/4/14,1185.260057,1203.5,1179.73,1106.98,1097.55,1127.86,5.236344,0.44%,205.0684105,0.235196563,-0.096533188,
216,2017/4/15,1170.36,1203.75,1184.1,1119.85,1095.15,1130.95,-14.900057,-1.26%,205.5914922,0.235425123,-0.099164498,
217,2017/4/16,1186.927413,1196.27,1187.83,1130.53,1092.26,1133.77,16.567413,1.42%,206.2114674,0.235746662,-0.09522458,
218,2017/4/17,1205.634875,1188.33,1193.17,1138.01,1095.45,1136.68,18.707462,1.58%,206.9462454,0.236178689,-0.084787074,
219,2017/4/18,1176.97,1185.64,1194.68,1146.24,1103.9,1139.52,-28.664875,-2.38%,207.4640483,0.236400824,-0.074046562,
220,2017/4/19,1217.930088,1185.03,1194.27,1153.06,1110.87,1141.88,40.960088,3.48%,208.2506011,0.23688141,-0.066758487,
221,2017/4/20,1241.686325,1191.56,1197.66,1162.06,1116.5,1144.57,23.756237,1.95%,209.1946046,0.237513982,-0.067227944,
